epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4242,0.4548,0.8625,0.8625,3.33e-05
2,0.2855,0.4573,0.8550,0.8550,6.67e-05
3,0.2891,0.4538,0.8600,0.8599,1.00e-04
4,0.2860,0.4536,0.8550,0.8549,9.97e-05
5,0.2838,0.4575,0.8600,0.8600,9.87e-05
6,0.2851,0.4570,0.8600,0.8600,9.70e-05
7,0.2859,0.4512,0.8625,0.8625,9.47e-05
8,0.2849,0.4509,0.8625,0.8625,9.18e-05
9,0.2828,0.4503,0.8625,0.8625,8.83e-05
10,0.2855,0.4517,0.8625,0.8625,8.43e-05
11,0.2820,0.4635,0.8575,0.8575,7.99e-05
12,0.2859,0.4422,0.8575,0.8575,7.50e-05
13,0.2853,0.4470,0.8575,0.8575,6.98e-05
14,0.2830,0.4600,0.8625,0.8625,6.43e-05
15,0.2840,0.4418,0.8625,0.8625,5.87e-05
16,0.2846,0.4486,0.8600,0.8600,5.29e-05
17,0.2855,0.4469,0.8625,0.8625,4.71e-05
18,0.2861,0.4519,0.8625,0.8625,4.13e-05
19,0.2874,0.4491,0.8600,0.8600,3.57e-05
20,0.2841,0.4505,0.8575,0.8575,3.02e-05
21,0.2857,0.4519,0.8600,0.8600,2.50e-05
22,0.2841,0.4501,0.8575,0.8575,2.01e-05
23,0.2852,0.4475,0.8575,0.8575,1.57e-05
24,0.2821,0.4537,0.8575,0.8575,1.17e-05
25,0.2790,0.4538,0.8600,0.8600,8.23e-06
26,0.2847,0.4510,0.8600,0.8600,5.32e-06
27,0.2820,0.4525,0.8600,0.8600,3.02e-06
28,0.2828,0.4519,0.8600,0.8600,1.35e-06
29,0.2823,0.4518,0.8600,0.8600,3.38e-07
30,0.2830,0.4518,0.8600,0.8600,0.00e+00
