epoch,train_loss,val_loss,val_acc
1,0.5549,0.6508,0.7450
2,0.5098,0.6140,0.7450
3,0.4870,0.6001,0.7450
4,0.4839,0.5958,0.7425
5,0.4777,0.5945,0.7425
6,0.4701,0.5942,0.7425
7,0.4686,0.5965,0.7425
8,0.4623,0.5996,0.7400
9,0.4566,0.6010,0.7400
10,0.4539,0.6030,0.7400
11,0.4451,0.6052,0.7375
12,0.4489,0.6058,0.7375
13,0.4475,0.6069,0.7375
14,0.4385,0.6088,0.7375
15,0.4327,0.6110,0.7375
16,0.4304,0.6136,0.7375
17,0.4282,0.6157,0.7375
18,0.4339,0.6153,0.7350
19,0.4296,0.6172,0.7350
20,0.4239,0.6183,0.7350
21,0.4269,0.6190,0.7350
22,0.4256,0.6196,0.7350
23,0.4214,0.6206,0.7350
24,0.4137,0.6214,0.7350
25,0.4184,0.6219,0.7350
26,0.4204,0.6222,0.7350
27,0.4171,0.6224,0.7350
28,0.4176,0.6225,0.7350
29,0.4184,0.6225,0.7350
30,0.4188,0.6226,0.7350
