epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2802,0.4737,0.8225,0.8221,1.34e-06
2,0.2769,0.4827,0.8325,0.8321,1.99e-06
3,0.2734,0.4883,0.8200,0.8191,1.94e-06
4,0.2703,0.4783,0.8175,0.8174,1.84e-06
5,0.2655,0.4716,0.8250,0.8250,1.69e-06
6,0.2634,0.4728,0.8325,0.8325,1.50e-06
7,0.2596,0.4835,0.8250,0.8243,1.29e-06
8,0.2572,0.4718,0.8275,0.8274,1.06e-06
9,0.2563,0.4726,0.8250,0.8249,8.26e-07
10,0.2550,0.4754,0.8150,0.8148,6.04e-07
11,0.2526,0.4739,0.8150,0.8149,4.03e-07
12,0.2522,0.4743,0.8150,0.8149,2.34e-07
13,0.2497,0.4757,0.8200,0.8198,1.06e-07
14,0.2521,0.4759,0.8200,0.8198,2.69e-08
15,0.2523,0.4750,0.8125,0.8124,0.00e+00
