epoch,train_loss,val_loss,val_acc
1,0.6667,0.4634,0.7916
2,0.4128,0.4419,0.8261
3,0.2493,0.5753,0.8306
4,0.1637,0.6212,0.8381
5,0.1011,0.8332,0.8306
