epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6921,0.0000,0.6921,0.6767,0.6550,0.6500
2,0.6672,0.0000,0.6672,0.6546,0.6925,0.6913
3,0.6422,0.0000,0.6422,0.6241,0.7200,0.7199
4,0.6111,0.0000,0.6111,0.5906,0.7350,0.7340
5,0.5879,0.0000,0.5879,0.5646,0.7400,0.7389
6,0.5701,0.0006,0.5704,0.5458,0.7425,0.7420
7,0.5604,0.0020,0.5614,0.5349,0.7450,0.7448
8,0.5431,0.0109,0.5486,0.5256,0.7475,0.7465
9,0.5376,0.0108,0.5430,0.5197,0.7425,0.7422
10,0.5235,0.0091,0.5280,0.5149,0.7525,0.7517
11,0.5078,0.0107,0.5131,0.5126,0.7500,0.7498
12,0.5045,0.0170,0.5130,0.5110,0.7550,0.7545
13,0.4933,0.0261,0.5063,0.5125,0.7500,0.7498
14,0.4920,0.0119,0.4979,0.5138,0.7550,0.7548
15,0.4793,0.0213,0.4899,0.5135,0.7575,0.7568
16,0.4636,0.0243,0.4757,0.5133,0.7525,0.7521
17,0.4654,0.0145,0.4727,0.5154,0.7525,0.7519
18,0.4539,0.0193,0.4635,0.5166,0.7500,0.7494
19,0.4511,0.0201,0.4612,0.5180,0.7500,0.7494
20,0.4457,0.0347,0.4631,0.5185,0.7600,0.7598
21,0.4381,0.0154,0.4458,0.5197,0.7475,0.7468
22,0.4365,0.0268,0.4499,0.5215,0.7525,0.7522
23,0.4311,0.0297,0.4459,0.5229,0.7525,0.7521
24,0.4244,0.0243,0.4366,0.5255,0.7600,0.7599
25,0.4122,0.0221,0.4232,0.5257,0.7575,0.7572
26,0.4163,0.0237,0.4281,0.5277,0.7550,0.7545
27,0.4166,0.0298,0.4315,0.5273,0.7500,0.7497
28,0.4029,0.0295,0.4176,0.5281,0.7550,0.7548
29,0.4046,0.0292,0.4192,0.5291,0.7575,0.7574
30,0.3920,0.0301,0.4070,0.5313,0.7575,0.7573
