epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6981,0.0000,0.6981,0.6805,0.6500,0.6493
2,0.6720,0.0000,0.6720,0.6602,0.7000,0.6994
3,0.6446,0.0000,0.6446,0.6261,0.7250,0.7250
4,0.6130,0.0000,0.6130,0.5862,0.7275,0.7274
5,0.5862,0.0000,0.5862,0.5522,0.7350,0.7349
6,0.5797,0.0059,0.5833,0.5319,0.7325,0.7325
7,0.5696,0.0038,0.5719,0.5191,0.7400,0.7400
8,0.5618,0.0257,0.5772,0.5083,0.7450,0.7450
9,0.5479,0.0132,0.5559,0.5025,0.7450,0.7450
10,0.5296,0.0247,0.5444,0.4987,0.7475,0.7474
11,0.5153,0.0128,0.5230,0.4941,0.7650,0.7650
12,0.5059,0.0358,0.5274,0.4941,0.7600,0.7600
13,0.4981,0.0296,0.5159,0.4938,0.7600,0.7600
14,0.4852,0.0316,0.5041,0.4919,0.7650,0.7650
15,0.4931,0.0418,0.5182,0.4924,0.7700,0.7700
16,0.4708,0.0290,0.4883,0.4917,0.7725,0.7724
17,0.4625,0.0202,0.4746,0.4917,0.7725,0.7725
18,0.4616,0.0304,0.4799,0.4940,0.7700,0.7700
19,0.4414,0.0340,0.4618,0.4938,0.7625,0.7624
20,0.4300,0.0325,0.4495,0.4939,0.7700,0.7700
21,0.4318,0.0302,0.4499,0.4950,0.7725,0.7725
22,0.4216,0.0458,0.4491,0.4983,0.7675,0.7675
23,0.4202,0.0402,0.4444,0.4997,0.7725,0.7724
24,0.4068,0.0338,0.4270,0.5010,0.7625,0.7625
25,0.4076,0.0378,0.4303,0.5048,0.7700,0.7700
26,0.3877,0.0349,0.4086,0.5030,0.7750,0.7749
27,0.3939,0.0420,0.4191,0.5040,0.7625,0.7625
28,0.3928,0.0391,0.4163,0.5050,0.7700,0.7700
29,0.3834,0.0514,0.4142,0.5083,0.7700,0.7700
30,0.3830,0.0453,0.4102,0.5089,0.7700,0.7700
