epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4552,0.4740,0.8550,0.8549,3.33e-05
2,0.2825,0.4647,0.8600,0.8599,6.67e-05
3,0.2803,0.4599,0.8650,0.8650,1.00e-04
4,0.2840,0.4635,0.8675,0.8675,9.97e-05
5,0.2797,0.4588,0.8650,0.8650,9.87e-05
6,0.2812,0.4785,0.8650,0.8650,9.70e-05
7,0.2821,0.4560,0.8675,0.8675,9.47e-05
8,0.2791,0.4722,0.8650,0.8649,9.18e-05
9,0.2790,0.4566,0.8675,0.8675,8.83e-05
10,0.2807,0.4593,0.8675,0.8675,8.43e-05
11,0.2771,0.4686,0.8650,0.8650,7.99e-05
12,0.2801,0.4614,0.8650,0.8650,7.50e-05
13,0.2794,0.4475,0.8650,0.8650,6.98e-05
14,0.2796,0.4638,0.8625,0.8625,6.43e-05
15,0.2793,0.4467,0.8650,0.8650,5.87e-05
16,0.2786,0.4593,0.8650,0.8650,5.29e-05
17,0.2797,0.4610,0.8650,0.8650,4.71e-05
18,0.2778,0.4607,0.8650,0.8650,4.13e-05
19,0.2765,0.4616,0.8650,0.8650,3.57e-05
20,0.2762,0.4522,0.8650,0.8650,3.02e-05
21,0.2787,0.4570,0.8625,0.8624,2.50e-05
22,0.2783,0.4542,0.8650,0.8650,2.01e-05
23,0.2778,0.4544,0.8650,0.8650,1.57e-05
24,0.2778,0.4576,0.8650,0.8650,1.17e-05
25,0.2781,0.4567,0.8650,0.8650,8.23e-06
26,0.2808,0.4550,0.8650,0.8650,5.32e-06
27,0.2778,0.4563,0.8650,0.8650,3.02e-06
28,0.2782,0.4567,0.8650,0.8650,1.35e-06
29,0.2753,0.4569,0.8650,0.8650,3.38e-07
30,0.2770,0.4569,0.8650,0.8650,0.00e+00
