epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2797,0.5189,0.7850,0.7850,1.33e-06
2,0.2768,0.5227,0.7775,0.7773,1.99e-06
3,0.2724,0.5345,0.7975,0.7970,1.94e-06
4,0.2688,0.5199,0.7925,0.7925,1.84e-06
5,0.2671,0.5320,0.7975,0.7974,1.69e-06
6,0.2645,0.5258,0.8000,0.7998,1.50e-06
7,0.2593,0.5346,0.7775,0.7770,1.29e-06
8,0.2612,0.5247,0.7950,0.7950,1.06e-06
9,0.2596,0.5274,0.7875,0.7875,8.26e-07
10,0.2558,0.5242,0.8000,0.8000,6.04e-07
11,0.2561,0.5231,0.7950,0.7950,4.03e-07
12,0.2548,0.5239,0.7925,0.7924,2.34e-07
13,0.2543,0.5241,0.7925,0.7925,1.06e-07
14,0.2506,0.5245,0.7975,0.7975,2.70e-08
15,0.2517,0.5245,0.7950,0.7950,0.00e+00
