epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7039,0.0000,0.7039,0.6830,0.6250,0.6248
2,0.6762,0.0000,0.6762,0.6686,0.6700,0.6679
3,0.6561,0.0000,0.6561,0.6481,0.7000,0.6985
4,0.6305,0.0000,0.6305,0.6209,0.7075,0.7075
5,0.6015,0.0000,0.6015,0.5925,0.7300,0.7295
6,0.5757,0.0001,0.5757,0.5710,0.7275,0.7264
7,0.5574,0.0022,0.5585,0.5560,0.7175,0.7170
8,0.5500,0.0174,0.5587,0.5473,0.7275,0.7273
9,0.5350,0.0070,0.5384,0.5412,0.7300,0.7296
10,0.5241,0.0182,0.5331,0.5411,0.7250,0.7249
11,0.5097,0.0169,0.5182,0.5385,0.7250,0.7250
12,0.5015,0.0131,0.5080,0.5398,0.7350,0.7348
13,0.4998,0.0198,0.5097,0.5423,0.7250,0.7250
14,0.4876,0.0130,0.4941,0.5429,0.7225,0.7225
15,0.4739,0.0232,0.4855,0.5448,0.7375,0.7374
16,0.4651,0.0196,0.4749,0.5471,0.7275,0.7274
17,0.4696,0.0241,0.4817,0.5473,0.7425,0.7425
18,0.4534,0.0263,0.4666,0.5474,0.7375,0.7375
19,0.4420,0.0215,0.4527,0.5503,0.7425,0.7425
20,0.4322,0.0273,0.4459,0.5551,0.7300,0.7300
21,0.4272,0.0243,0.4393,0.5584,0.7225,0.7224
22,0.4321,0.0326,0.4484,0.5613,0.7300,0.7298
23,0.4200,0.0186,0.4293,0.5627,0.7275,0.7275
24,0.4084,0.0313,0.4240,0.5661,0.7250,0.7250
25,0.4082,0.0235,0.4200,0.5674,0.7225,0.7224
26,0.4109,0.0227,0.4222,0.5717,0.7200,0.7199
27,0.4008,0.0297,0.4156,0.5725,0.7150,0.7150
28,0.3990,0.0237,0.4109,0.5747,0.7150,0.7150
29,0.3961,0.0360,0.4141,0.5747,0.7175,0.7175
30,0.3908,0.0317,0.4067,0.5814,0.7125,0.7124
