epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4685,0.5207,0.8350,0.8350,3.33e-05
2,0.2722,0.5022,0.8325,0.8324,6.67e-05
3,0.2710,0.5183,0.8250,0.8248,1.00e-04
4,0.2725,0.5115,0.8300,0.8297,9.97e-05
5,0.2703,0.5167,0.8300,0.8298,9.87e-05
6,0.2713,0.5233,0.8350,0.8349,9.70e-05
7,0.2727,0.5050,0.8300,0.8298,9.47e-05
8,0.2710,0.5010,0.8300,0.8296,9.18e-05
9,0.2711,0.5023,0.8300,0.8298,8.83e-05
10,0.2691,0.4969,0.8300,0.8298,8.43e-05
11,0.2695,0.5194,0.8275,0.8274,7.99e-05
12,0.2719,0.4984,0.8275,0.8274,7.50e-05
13,0.2713,0.5056,0.8325,0.8324,6.98e-05
14,0.2717,0.5054,0.8275,0.8273,6.43e-05
15,0.2734,0.5155,0.8325,0.8325,5.87e-05
16,0.2704,0.5092,0.8275,0.8273,5.29e-05
17,0.2717,0.4993,0.8300,0.8298,4.71e-05
18,0.2690,0.5097,0.8325,0.8324,4.13e-05
19,0.2702,0.5045,0.8300,0.8298,3.57e-05
20,0.2719,0.5103,0.8300,0.8298,3.02e-05
21,0.2706,0.5090,0.8300,0.8298,2.50e-05
22,0.2718,0.5068,0.8300,0.8298,2.01e-05
23,0.2723,0.5017,0.8325,0.8323,1.57e-05
24,0.2725,0.5081,0.8300,0.8298,1.17e-05
25,0.2699,0.5094,0.8300,0.8298,8.23e-06
26,0.2706,0.5067,0.8300,0.8298,5.32e-06
27,0.2688,0.5068,0.8300,0.8298,3.02e-06
28,0.2695,0.5078,0.8300,0.8298,1.35e-06
29,0.2732,0.5072,0.8300,0.8298,3.38e-07
30,0.2709,0.5070,0.8300,0.8298,0.00e+00
