epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4009,0.4672,0.8600,0.8600,3.33e-05
2,0.2713,0.4586,0.8550,0.8550,6.67e-05
3,0.2732,0.4565,0.8600,0.8600,1.00e-04
4,0.2721,0.4673,0.8600,0.8600,9.97e-05
5,0.2731,0.4692,0.8625,0.8625,9.87e-05
6,0.2724,0.4591,0.8600,0.8599,9.70e-05
7,0.2713,0.4622,0.8650,0.8650,9.47e-05
8,0.2721,0.4641,0.8625,0.8625,9.18e-05
9,0.2740,0.4637,0.8625,0.8625,8.83e-05
10,0.2724,0.4684,0.8600,0.8600,8.43e-05
11,0.2710,0.4689,0.8575,0.8575,7.99e-05
12,0.2711,0.4713,0.8625,0.8625,7.50e-05
13,0.2728,0.4610,0.8625,0.8625,6.98e-05
14,0.2688,0.4654,0.8600,0.8600,6.43e-05
15,0.2716,0.4753,0.8575,0.8575,5.87e-05
16,0.2719,0.4709,0.8600,0.8600,5.29e-05
17,0.2704,0.4544,0.8625,0.8625,4.71e-05
18,0.2705,0.4679,0.8625,0.8625,4.13e-05
19,0.2686,0.4694,0.8600,0.8600,3.57e-05
20,0.2709,0.4671,0.8600,0.8600,3.02e-05
21,0.2737,0.4651,0.8600,0.8600,2.50e-05
22,0.2712,0.4631,0.8600,0.8600,2.01e-05
23,0.2723,0.4623,0.8600,0.8600,1.57e-05
24,0.2694,0.4603,0.8625,0.8625,1.17e-05
25,0.2702,0.4635,0.8625,0.8625,8.23e-06
26,0.2704,0.4622,0.8625,0.8625,5.32e-06
27,0.2685,0.4643,0.8625,0.8625,3.02e-06
28,0.2700,0.4636,0.8625,0.8625,1.35e-06
29,0.2702,0.4634,0.8625,0.8625,3.38e-07
30,0.2695,0.4633,0.8625,0.8625,0.00e+00
