epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.3703,0.4882,0.8475,0.8475,3.33e-05
2,0.2757,0.5043,0.8475,0.8475,6.67e-05
3,0.2783,0.4843,0.8450,0.8450,1.00e-04
4,0.2744,0.4958,0.8400,0.8399,9.97e-05
5,0.2773,0.4941,0.8425,0.8425,9.87e-05
6,0.2755,0.5019,0.8475,0.8475,9.70e-05
7,0.2779,0.4841,0.8525,0.8525,9.47e-05
8,0.2803,0.5011,0.8425,0.8425,9.18e-05
9,0.2780,0.4812,0.8425,0.8424,8.83e-05
10,0.2801,0.5031,0.8425,0.8424,8.43e-05
11,0.2756,0.4960,0.8400,0.8399,7.99e-05
12,0.2776,0.4848,0.8475,0.8475,7.50e-05
13,0.2763,0.5117,0.8475,0.8475,6.98e-05
14,0.2779,0.4871,0.8400,0.8399,6.43e-05
15,0.2749,0.4941,0.8400,0.8399,5.87e-05
16,0.2742,0.4936,0.8425,0.8425,5.29e-05
17,0.2779,0.4781,0.8425,0.8424,4.71e-05
18,0.2771,0.4974,0.8425,0.8424,4.13e-05
19,0.2767,0.4868,0.8400,0.8399,3.57e-05
20,0.2748,0.4985,0.8425,0.8425,3.02e-05
21,0.2769,0.4947,0.8425,0.8425,2.50e-05
22,0.2758,0.4994,0.8400,0.8399,2.01e-05
23,0.2764,0.4954,0.8400,0.8399,1.57e-05
24,0.2766,0.4977,0.8400,0.8399,1.17e-05
25,0.2743,0.4963,0.8400,0.8399,8.23e-06
26,0.2777,0.4916,0.8400,0.8399,5.32e-06
27,0.2764,0.4934,0.8400,0.8399,3.02e-06
28,0.2746,0.4932,0.8400,0.8399,1.35e-06
29,0.2765,0.4935,0.8400,0.8399,3.38e-07
30,0.2738,0.4935,0.8400,0.8399,0.00e+00
