epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7025,0.0000,0.7025,0.6829,0.6425,0.6420
2,0.6854,0.0000,0.6854,0.6730,0.6900,0.6900
3,0.6758,0.0000,0.6758,0.6602,0.7200,0.7193
4,0.6670,0.0000,0.6670,0.6441,0.7300,0.7298
5,0.6593,0.0000,0.6593,0.6275,0.7350,0.7349
6,0.6539,0.0000,0.6539,0.6135,0.7225,0.7220
7,0.6422,0.0000,0.6422,0.6003,0.7375,0.7359
8,0.6407,0.0018,0.6424,0.5868,0.7450,0.7436
9,0.6347,0.0020,0.6367,0.5752,0.7450,0.7448
10,0.6288,0.0022,0.6310,0.5677,0.7450,0.7446
11,0.6150,0.0060,0.6211,0.5574,0.7450,0.7448
12,0.6205,0.0071,0.6275,0.5517,0.7475,0.7471
13,0.6006,0.0098,0.6105,0.5470,0.7475,0.7469
14,0.6017,0.0107,0.6124,0.5436,0.7500,0.7498
15,0.5875,0.0110,0.5985,0.5424,0.7400,0.7398
16,0.5697,0.0120,0.5817,0.5378,0.7375,0.7370
17,0.5623,0.0127,0.5751,0.5367,0.7425,0.7422
18,0.5559,0.0145,0.5704,0.5367,0.7425,0.7419
19,0.5451,0.0138,0.5589,0.5385,0.7350,0.7345
20,0.5353,0.0195,0.5548,0.5401,0.7400,0.7392
21,0.5201,0.0159,0.5360,0.5395,0.7425,0.7424
22,0.5036,0.0174,0.5210,0.5419,0.7375,0.7371
23,0.4882,0.0217,0.5099,0.5431,0.7325,0.7322
24,0.4791,0.0220,0.5011,0.5458,0.7325,0.7321
25,0.4679,0.0227,0.4905,0.5468,0.7275,0.7270
26,0.4462,0.0199,0.4661,0.5496,0.7225,0.7221
27,0.4289,0.0295,0.4584,0.5515,0.7325,0.7320
28,0.4177,0.0270,0.4447,0.5560,0.7325,0.7320
29,0.3985,0.0227,0.4212,0.5573,0.7300,0.7295
30,0.3789,0.0268,0.4057,0.5617,0.7300,0.7293
