epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5868,0.4498,0.8475,0.8475,5.00e-05
2,0.4550,0.4409,0.8425,0.8424,1.00e-04
3,0.4484,0.4415,0.8350,0.8347,9.92e-05
4,0.4492,0.4413,0.8375,0.8373,9.70e-05
5,0.4465,0.4411,0.8400,0.8399,9.33e-05
6,0.4389,0.4466,0.8500,0.8500,8.83e-05
7,0.4472,0.4456,0.8425,0.8425,8.21e-05
8,0.4432,0.4505,0.8400,0.8399,7.50e-05
9,0.4439,0.4480,0.8425,0.8424,6.71e-05
10,0.4452,0.4412,0.8450,0.8449,5.87e-05
11,0.4417,0.4413,0.8400,0.8399,5.00e-05
12,0.4432,0.4406,0.8425,0.8424,4.13e-05
13,0.4382,0.4450,0.8500,0.8500,3.29e-05
14,0.4398,0.4434,0.8425,0.8424,2.50e-05
15,0.4411,0.4428,0.8425,0.8424,1.79e-05
16,0.4437,0.4416,0.8425,0.8424,1.17e-05
17,0.4454,0.4409,0.8425,0.8424,6.70e-06
18,0.4366,0.4421,0.8425,0.8424,3.02e-06
19,0.4442,0.4421,0.8425,0.8424,7.60e-07
20,0.4378,0.4421,0.8425,0.8424,0.00e+00
