epoch,train_loss,val_loss,val_acc
1,0.5280,0.5540,0.7575
2,0.5054,0.5433,0.7600
3,0.5055,0.5422,0.7575
4,0.4936,0.5409,0.7550
5,0.4923,0.5422,0.7550
6,0.4865,0.5439,0.7525
7,0.4852,0.5446,0.7525
8,0.4767,0.5460,0.7525
9,0.4713,0.5479,0.7500
10,0.4694,0.5491,0.7500
11,0.4668,0.5516,0.7500
12,0.4596,0.5543,0.7500
13,0.4591,0.5546,0.7500
14,0.4578,0.5560,0.7500
15,0.4524,0.5570,0.7475
16,0.4489,0.5589,0.7450
17,0.4462,0.5594,0.7475
18,0.4455,0.5608,0.7450
19,0.4430,0.5615,0.7450
20,0.4419,0.5620,0.7450
21,0.4427,0.5628,0.7450
22,0.4402,0.5634,0.7450
23,0.4353,0.5639,0.7450
24,0.4372,0.5639,0.7450
25,0.4348,0.5644,0.7450
26,0.4367,0.5646,0.7450
27,0.4322,0.5649,0.7450
28,0.4374,0.5650,0.7450
29,0.4345,0.5650,0.7450
30,0.4346,0.5650,0.7450
