epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7097,0.0000,0.7097,0.6812,0.6325,0.6320
2,0.6719,0.0000,0.6719,0.6646,0.6800,0.6786
3,0.6470,0.0000,0.6470,0.6374,0.7150,0.7150
4,0.6131,0.0000,0.6131,0.6025,0.7275,0.7275
5,0.5868,0.0000,0.5868,0.5758,0.7175,0.7175
6,0.5782,0.0030,0.5797,0.5588,0.7275,0.7275
7,0.5654,0.0031,0.5670,0.5478,0.7375,0.7375
8,0.5505,0.0129,0.5570,0.5416,0.7350,0.7349
9,0.5509,0.0126,0.5572,0.5323,0.7425,0.7425
10,0.5316,0.0133,0.5383,0.5298,0.7450,0.7450
11,0.5135,0.0388,0.5329,0.5271,0.7475,0.7474
12,0.5106,0.0253,0.5233,0.5248,0.7525,0.7525
13,0.4907,0.0214,0.5014,0.5236,0.7525,0.7525
14,0.4795,0.0350,0.4970,0.5241,0.7550,0.7549
15,0.4728,0.0311,0.4883,0.5202,0.7575,0.7575
16,0.4696,0.0195,0.4793,0.5229,0.7575,0.7575
17,0.4580,0.0280,0.4721,0.5229,0.7575,0.7574
18,0.4534,0.0321,0.4694,0.5207,0.7550,0.7549
19,0.4349,0.0220,0.4459,0.5166,0.7550,0.7549
20,0.4414,0.0277,0.4553,0.5169,0.7550,0.7550
21,0.4343,0.0543,0.4614,0.5143,0.7625,0.7625
22,0.4207,0.0463,0.4439,0.5171,0.7550,0.7549
23,0.4195,0.0253,0.4322,0.5199,0.7525,0.7524
24,0.4084,0.0280,0.4224,0.5161,0.7550,0.7549
25,0.4071,0.0406,0.4274,0.5177,0.7575,0.7575
26,0.4063,0.0337,0.4231,0.5167,0.7650,0.7649
27,0.4079,0.0242,0.4200,0.5180,0.7650,0.7650
28,0.3886,0.0678,0.4225,0.5156,0.7650,0.7650
29,0.3898,0.0387,0.4092,0.5154,0.7600,0.7599
30,0.3811,0.0292,0.3957,0.5187,0.7650,0.7649
