epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7174,0.0000,0.7174,0.6857,0.6225,0.6223
2,0.6895,0.0000,0.6895,0.6777,0.6725,0.6716
3,0.6768,0.0000,0.6768,0.6666,0.6900,0.6897
4,0.6679,0.0000,0.6679,0.6507,0.7050,0.7041
5,0.6611,0.0000,0.6611,0.6340,0.7200,0.7180
6,0.6542,0.0000,0.6542,0.6186,0.7325,0.7315
7,0.6509,0.0000,0.6509,0.6052,0.7275,0.7271
8,0.6438,0.0002,0.6440,0.5945,0.7325,0.7323
9,0.6363,0.0020,0.6383,0.5835,0.7300,0.7300
10,0.6302,0.0030,0.6332,0.5740,0.7250,0.7250
11,0.6177,0.0062,0.6239,0.5634,0.7275,0.7275
12,0.6152,0.0100,0.6252,0.5569,0.7325,0.7323
13,0.6144,0.0095,0.6240,0.5520,0.7225,0.7225
14,0.6067,0.0095,0.6162,0.5467,0.7350,0.7350
15,0.5938,0.0105,0.6043,0.5460,0.7300,0.7296
16,0.5832,0.0112,0.5944,0.5426,0.7425,0.7424
17,0.5788,0.0124,0.5912,0.5401,0.7375,0.7373
18,0.5621,0.0130,0.5751,0.5388,0.7350,0.7349
19,0.5419,0.0154,0.5573,0.5369,0.7375,0.7375
20,0.5248,0.0157,0.5404,0.5384,0.7400,0.7400
21,0.5201,0.0174,0.5375,0.5391,0.7175,0.7173
22,0.5163,0.0174,0.5337,0.5394,0.7200,0.7197
23,0.4919,0.0180,0.5099,0.5418,0.7300,0.7298
24,0.4730,0.0225,0.4956,0.5428,0.7300,0.7299
25,0.4643,0.0204,0.4846,0.5449,0.7250,0.7250
26,0.4537,0.0259,0.4797,0.5462,0.7300,0.7300
27,0.4312,0.0220,0.4532,0.5488,0.7300,0.7300
28,0.4160,0.0193,0.4353,0.5520,0.7350,0.7350
29,0.4017,0.0206,0.4223,0.5520,0.7300,0.7300
30,0.3829,0.0254,0.4083,0.5563,0.7300,0.7299
