epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5690,0.4425,0.8600,0.8599,5.00e-05
2,0.4581,0.4317,0.8675,0.8675,1.00e-04
3,0.4477,0.4375,0.8650,0.8649,9.92e-05
4,0.4541,0.4335,0.8600,0.8599,9.70e-05
5,0.4481,0.4323,0.8650,0.8650,9.33e-05
6,0.4501,0.4411,0.8625,0.8624,8.83e-05
7,0.4528,0.4384,0.8625,0.8624,8.21e-05
8,0.4471,0.4317,0.8650,0.8649,7.50e-05
9,0.4521,0.4345,0.8625,0.8624,6.71e-05
10,0.4411,0.4349,0.8550,0.8549,5.87e-05
11,0.4490,0.4321,0.8550,0.8549,5.00e-05
12,0.4454,0.4347,0.8575,0.8574,4.13e-05
13,0.4454,0.4359,0.8550,0.8549,3.29e-05
14,0.4405,0.4355,0.8575,0.8574,2.50e-05
15,0.4438,0.4362,0.8600,0.8599,1.79e-05
16,0.4467,0.4354,0.8575,0.8574,1.17e-05
17,0.4451,0.4353,0.8575,0.8574,6.70e-06
18,0.4466,0.4347,0.8575,0.8574,3.02e-06
19,0.4501,0.4348,0.8575,0.8574,7.60e-07
20,0.4460,0.4348,0.8575,0.8574,0.00e+00
