epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2699,0.4727,0.8525,0.8523,5.00e-06
2,0.2644,0.4900,0.8625,0.8624,1.00e-05
3,0.2669,0.4828,0.8525,0.8523,9.92e-06
4,0.2653,0.4818,0.8550,0.8549,9.70e-06
5,0.2647,0.4894,0.8575,0.8574,9.33e-06
6,0.2628,0.4966,0.8575,0.8574,8.83e-06
7,0.2654,0.4546,0.8600,0.8599,8.21e-06
8,0.2676,0.4821,0.8625,0.8624,7.50e-06
9,0.2640,0.4741,0.8600,0.8599,6.71e-06
10,0.2649,0.5009,0.8550,0.8549,5.87e-06
11,0.2626,0.4784,0.8625,0.8624,5.00e-06
12,0.2656,0.4738,0.8550,0.8549,4.13e-06
13,0.2629,0.4869,0.8550,0.8549,3.29e-06
14,0.2633,0.4905,0.8550,0.8549,2.50e-06
15,0.2649,0.4794,0.8600,0.8599,1.79e-06
16,0.2654,0.4736,0.8575,0.8574,1.17e-06
17,0.2642,0.4809,0.8600,0.8599,6.70e-07
18,0.2635,0.4753,0.8600,0.8599,3.02e-07
19,0.2633,0.4766,0.8600,0.8599,7.60e-08
20,0.2628,0.4766,0.8600,0.8599,0.00e+00
