epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7045,0.0000,0.7045,0.6813,0.6600,0.6590
2,0.6863,0.0000,0.6863,0.6715,0.7275,0.7275
3,0.6767,0.0000,0.6767,0.6576,0.7525,0.7521
4,0.6688,0.0000,0.6688,0.6411,0.7525,0.7522
5,0.6610,0.0000,0.6610,0.6243,0.7600,0.7598
6,0.6519,0.0000,0.6519,0.6093,0.7750,0.7749
7,0.6500,0.0000,0.6500,0.5951,0.7825,0.7825
8,0.6425,0.0000,0.6425,0.5837,0.7700,0.7700
9,0.6319,0.0019,0.6338,0.5704,0.7800,0.7800
10,0.6242,0.0049,0.6290,0.5564,0.7575,0.7574
11,0.6246,0.0054,0.6300,0.5492,0.7675,0.7673
12,0.6198,0.0151,0.6349,0.5358,0.7625,0.7624
13,0.6071,0.0082,0.6153,0.5266,0.7725,0.7725
14,0.5964,0.0078,0.6042,0.5239,0.7575,0.7574
15,0.5869,0.0105,0.5975,0.5168,0.7625,0.7625
16,0.5776,0.0127,0.5903,0.5117,0.7575,0.7574
17,0.5605,0.0099,0.5704,0.5053,0.7650,0.7650
18,0.5639,0.0119,0.5758,0.5036,0.7600,0.7599
19,0.5529,0.0174,0.5703,0.5002,0.7600,0.7600
20,0.5308,0.0169,0.5477,0.4968,0.7625,0.7625
21,0.5232,0.0146,0.5378,0.4972,0.7575,0.7575
22,0.5099,0.0173,0.5272,0.4937,0.7625,0.7625
23,0.4953,0.0226,0.5179,0.4953,0.7525,0.7525
24,0.4812,0.0167,0.4979,0.4938,0.7550,0.7550
25,0.4756,0.0166,0.4922,0.4932,0.7500,0.7500
26,0.4494,0.0220,0.4713,0.4941,0.7525,0.7525
27,0.4325,0.0186,0.4511,0.4924,0.7550,0.7550
28,0.4201,0.0229,0.4430,0.4926,0.7550,0.7550
29,0.3987,0.0212,0.4199,0.4926,0.7600,0.7600
30,0.3851,0.0297,0.4149,0.4986,0.7550,0.7547
