epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7025,0.0000,0.7025,0.6829,0.6425,0.6420
2,0.6854,0.0000,0.6854,0.6730,0.6900,0.6900
3,0.6758,0.0000,0.6758,0.6602,0.7200,0.7193
4,0.6670,0.0000,0.6670,0.6441,0.7300,0.7298
5,0.6593,0.0000,0.6593,0.6275,0.7350,0.7349
6,0.6539,0.0000,0.6539,0.6135,0.7225,0.7220
7,0.6422,0.0000,0.6422,0.6003,0.7375,0.7359
8,0.6400,0.0000,0.6400,0.5890,0.7450,0.7434
9,0.6313,0.0000,0.6313,0.5778,0.7500,0.7498
10,0.6259,0.0000,0.6259,0.5712,0.7400,0.7392
11,0.6086,0.0000,0.6086,0.5616,0.7425,0.7422
12,0.6071,0.0001,0.6071,0.5564,0.7425,0.7419
13,0.5901,0.0093,0.5947,0.5510,0.7350,0.7345
14,0.5885,0.0019,0.5895,0.5460,0.7450,0.7448
15,0.5762,0.0052,0.5788,0.5441,0.7450,0.7448
16,0.5577,0.0059,0.5606,0.5389,0.7400,0.7396
17,0.5557,0.0055,0.5585,0.5378,0.7425,0.7421
18,0.5501,0.0143,0.5572,0.5357,0.7425,0.7420
19,0.5413,0.0141,0.5484,0.5381,0.7350,0.7347
20,0.5321,0.0170,0.5406,0.5389,0.7350,0.7343
21,0.5144,0.0151,0.5220,0.5389,0.7400,0.7398
22,0.5029,0.0213,0.5135,0.5415,0.7375,0.7372
23,0.4847,0.0173,0.4933,0.5425,0.7350,0.7347
24,0.4768,0.0214,0.4876,0.5447,0.7375,0.7371
25,0.4661,0.0271,0.4796,0.5464,0.7250,0.7246
26,0.4455,0.0227,0.4569,0.5498,0.7275,0.7271
27,0.4268,0.0281,0.4409,0.5524,0.7350,0.7347
28,0.4164,0.0201,0.4264,0.5575,0.7300,0.7296
29,0.3941,0.0261,0.4071,0.5596,0.7300,0.7298
30,0.3720,0.0258,0.3849,0.5660,0.7325,0.7319
