epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5011,0.5034,0.8400,0.8400,3.33e-05
2,0.2833,0.5074,0.8375,0.8375,6.67e-05
3,0.2834,0.4835,0.8275,0.8273,1.00e-04
4,0.2804,0.4946,0.8400,0.8400,9.97e-05
5,0.2835,0.4860,0.8375,0.8375,9.87e-05
6,0.2849,0.4889,0.8325,0.8325,9.70e-05
7,0.2814,0.4908,0.8375,0.8375,9.47e-05
8,0.2832,0.4876,0.8375,0.8375,9.18e-05
9,0.2809,0.4892,0.8400,0.8400,8.83e-05
10,0.2812,0.4932,0.8425,0.8422,8.43e-05
11,0.2802,0.4910,0.8400,0.8400,7.99e-05
12,0.2818,0.4808,0.8400,0.8400,7.50e-05
13,0.2835,0.4952,0.8400,0.8400,6.98e-05
14,0.2821,0.4863,0.8375,0.8375,6.43e-05
15,0.2815,0.4909,0.8375,0.8375,5.87e-05
16,0.2812,0.4959,0.8375,0.8375,5.29e-05
17,0.2799,0.4876,0.8350,0.8350,4.71e-05
18,0.2810,0.4905,0.8375,0.8375,4.13e-05
19,0.2816,0.4913,0.8375,0.8375,3.57e-05
20,0.2827,0.4872,0.8375,0.8375,3.02e-05
21,0.2825,0.4859,0.8400,0.8400,2.50e-05
22,0.2806,0.4889,0.8400,0.8400,2.01e-05
23,0.2821,0.4855,0.8400,0.8400,1.57e-05
24,0.2788,0.4887,0.8350,0.8350,1.17e-05
25,0.2830,0.4896,0.8350,0.8350,8.23e-06
26,0.2805,0.4918,0.8375,0.8375,5.32e-06
27,0.2803,0.4911,0.8375,0.8375,3.02e-06
28,0.2802,0.4904,0.8375,0.8375,1.35e-06
29,0.2793,0.4909,0.8375,0.8375,3.38e-07
30,0.2806,0.4908,0.8375,0.8375,0.00e+00
