epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.3851,0.4698,0.8475,0.8475,3.33e-05
2,0.2840,0.4722,0.8425,0.8425,6.67e-05
3,0.2832,0.4729,0.8425,0.8424,1.00e-04
4,0.2808,0.4904,0.8425,0.8424,9.97e-05
5,0.2849,0.4647,0.8425,0.8425,9.87e-05
6,0.2818,0.4693,0.8475,0.8475,9.70e-05
7,0.2812,0.4743,0.8475,0.8475,9.47e-05
8,0.2823,0.4757,0.8475,0.8475,9.18e-05
9,0.2802,0.4785,0.8400,0.8400,8.83e-05
10,0.2831,0.4778,0.8400,0.8400,8.43e-05
11,0.2831,0.4768,0.8425,0.8424,7.99e-05
12,0.2799,0.4696,0.8425,0.8425,7.50e-05
13,0.2806,0.4827,0.8475,0.8475,6.98e-05
14,0.2790,0.4827,0.8475,0.8475,6.43e-05
15,0.2798,0.4684,0.8425,0.8425,5.87e-05
16,0.2810,0.4760,0.8400,0.8399,5.29e-05
17,0.2810,0.4701,0.8425,0.8424,4.71e-05
18,0.2808,0.4705,0.8450,0.8450,4.13e-05
19,0.2814,0.4743,0.8400,0.8399,3.57e-05
20,0.2798,0.4696,0.8425,0.8424,3.02e-05
21,0.2804,0.4808,0.8425,0.8425,2.50e-05
22,0.2782,0.4710,0.8425,0.8425,2.01e-05
23,0.2781,0.4788,0.8400,0.8399,1.57e-05
24,0.2760,0.4729,0.8400,0.8399,1.17e-05
25,0.2803,0.4732,0.8400,0.8399,8.23e-06
26,0.2781,0.4750,0.8400,0.8399,5.32e-06
27,0.2795,0.4730,0.8400,0.8399,3.02e-06
28,0.2773,0.4735,0.8400,0.8399,1.35e-06
29,0.2790,0.4737,0.8400,0.8399,3.38e-07
30,0.2790,0.4736,0.8400,0.8399,0.00e+00
