epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2785,0.4989,0.8225,0.8214,1.34e-06
2,0.2758,0.5061,0.8175,0.8161,1.99e-06
3,0.2729,0.4886,0.8350,0.8349,1.94e-06
4,0.2682,0.4890,0.8325,0.8322,1.84e-06
5,0.2705,0.4847,0.8425,0.8424,1.69e-06
6,0.2597,0.4890,0.8325,0.8322,1.50e-06
7,0.2599,0.4866,0.8425,0.8424,1.29e-06
8,0.2591,0.4849,0.8300,0.8298,1.06e-06
9,0.2558,0.4915,0.8325,0.8317,8.26e-07
10,0.2554,0.4925,0.8325,0.8317,6.04e-07
11,0.2538,0.4980,0.8325,0.8316,4.03e-07
12,0.2529,0.4839,0.8375,0.8372,2.34e-07
13,0.2513,0.4917,0.8350,0.8343,1.06e-07
14,0.2489,0.4904,0.8350,0.8344,2.69e-08
15,0.2525,0.4896,0.8350,0.8344,0.00e+00
