epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7006,0.0000,0.7006,0.6820,0.6250,0.6195
2,0.6734,0.0000,0.6734,0.6618,0.6775,0.6730
3,0.6504,0.0000,0.6504,0.6336,0.7225,0.7224
4,0.6195,0.0000,0.6195,0.5978,0.7300,0.7300
5,0.5916,0.0014,0.5923,0.5677,0.7575,0.7572
6,0.5758,0.0048,0.5782,0.5464,0.7575,0.7572
7,0.5593,0.0046,0.5616,0.5359,0.7600,0.7598
8,0.5478,0.0179,0.5568,0.5299,0.7625,0.7625
9,0.5377,0.0157,0.5456,0.5277,0.7575,0.7572
10,0.5313,0.0178,0.5401,0.5291,0.7550,0.7547
11,0.5111,0.0235,0.5229,0.5316,0.7550,0.7543
12,0.4997,0.0294,0.5144,0.5333,0.7525,0.7521
13,0.4999,0.0231,0.5115,0.5329,0.7525,0.7522
14,0.4833,0.0338,0.5002,0.5378,0.7525,0.7518
15,0.4630,0.0280,0.4770,0.5410,0.7500,0.7495
16,0.4559,0.0352,0.4735,0.5451,0.7550,0.7548
17,0.4416,0.0325,0.4578,0.5490,0.7525,0.7522
18,0.4394,0.0442,0.4615,0.5522,0.7525,0.7522
19,0.4352,0.0253,0.4478,0.5533,0.7500,0.7499
20,0.4288,0.0287,0.4432,0.5555,0.7525,0.7522
21,0.4220,0.0362,0.4401,0.5599,0.7525,0.7522
22,0.4100,0.0353,0.4277,0.5629,0.7500,0.7498
23,0.4087,0.0386,0.4280,0.5658,0.7550,0.7548
24,0.3942,0.0426,0.4155,0.5697,0.7575,0.7572
25,0.3884,0.0561,0.4164,0.5730,0.7550,0.7548
26,0.3825,0.0420,0.4035,0.5743,0.7500,0.7498
27,0.3843,0.0388,0.4037,0.5781,0.7500,0.7499
28,0.3688,0.0527,0.3951,0.5796,0.7500,0.7499
29,0.3734,0.0472,0.3970,0.5791,0.7450,0.7449
30,0.3687,0.0495,0.3934,0.5828,0.7475,0.7475
