epoch,train_loss,val_loss,val_acc
1,0.5670,0.7072,0.7650
2,0.5068,0.6446,0.7650
3,0.4880,0.6174,0.7650
4,0.4762,0.6034,0.7650
5,0.4680,0.5987,0.7650
6,0.4587,0.5970,0.7625
7,0.4535,0.5992,0.7600
8,0.4477,0.6007,0.7625
9,0.4413,0.6019,0.7625
10,0.4397,0.6031,0.7625
11,0.4317,0.6052,0.7625
12,0.4334,0.6062,0.7625
13,0.4283,0.6073,0.7600
14,0.4206,0.6109,0.7625
15,0.4192,0.6126,0.7600
16,0.4165,0.6144,0.7600
17,0.4085,0.6180,0.7600
18,0.4073,0.6196,0.7600
19,0.4108,0.6204,0.7600
20,0.4048,0.6222,0.7600
21,0.4065,0.6221,0.7600
22,0.4025,0.6231,0.7600
23,0.4045,0.6240,0.7600
24,0.4059,0.6246,0.7600
25,0.4029,0.6247,0.7600
26,0.4049,0.6251,0.7600
27,0.4070,0.6249,0.7600
28,0.4009,0.6251,0.7600
29,0.3976,0.6253,0.7600
30,0.4048,0.6254,0.7600
