epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4358,0.4864,0.8550,0.8549,3.33e-05
2,0.2768,0.4924,0.8625,0.8624,6.67e-05
3,0.2741,0.4640,0.8650,0.8649,1.00e-04
4,0.2727,0.4676,0.8650,0.8649,9.97e-05
5,0.2758,0.4584,0.8625,0.8625,9.87e-05
6,0.2755,0.4741,0.8625,0.8624,9.70e-05
7,0.2748,0.4665,0.8650,0.8650,9.47e-05
8,0.2755,0.4641,0.8600,0.8599,9.18e-05
9,0.2737,0.4681,0.8625,0.8624,8.83e-05
10,0.2770,0.4522,0.8650,0.8649,8.43e-05
11,0.2789,0.4704,0.8650,0.8649,7.99e-05
12,0.2736,0.4794,0.8600,0.8599,7.50e-05
13,0.2755,0.4793,0.8650,0.8649,6.98e-05
14,0.2775,0.4643,0.8650,0.8649,6.43e-05
15,0.2756,0.4720,0.8675,0.8675,5.87e-05
16,0.2748,0.4696,0.8650,0.8649,5.29e-05
17,0.2738,0.4662,0.8650,0.8650,4.71e-05
18,0.2759,0.4699,0.8650,0.8650,4.13e-05
19,0.2779,0.4644,0.8675,0.8675,3.57e-05
20,0.2735,0.4725,0.8675,0.8675,3.02e-05
21,0.2751,0.4716,0.8650,0.8649,2.50e-05
22,0.2751,0.4662,0.8650,0.8649,2.01e-05
23,0.2756,0.4682,0.8650,0.8649,1.57e-05
24,0.2771,0.4674,0.8650,0.8649,1.17e-05
25,0.2771,0.4632,0.8650,0.8650,8.23e-06
26,0.2749,0.4666,0.8650,0.8649,5.32e-06
27,0.2732,0.4670,0.8650,0.8649,3.02e-06
28,0.2738,0.4677,0.8650,0.8649,1.35e-06
29,0.2737,0.4672,0.8650,0.8649,3.38e-07
30,0.2737,0.4674,0.8650,0.8649,0.00e+00
