epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.7072,0.5004,0.8400,0.8400,5.00e-05
2,0.4608,0.4617,0.8350,0.8350,1.00e-04
3,0.4456,0.4562,0.8300,0.8299,9.92e-05
4,0.4478,0.4681,0.8325,0.8324,9.70e-05
5,0.4453,0.4549,0.8300,0.8298,9.33e-05
6,0.4434,0.4558,0.8300,0.8296,8.83e-05
7,0.4444,0.4656,0.8325,0.8324,8.21e-05
8,0.4378,0.4567,0.8325,0.8325,7.50e-05
9,0.4352,0.4529,0.8300,0.8299,6.71e-05
10,0.4469,0.4524,0.8300,0.8299,5.87e-05
11,0.4435,0.4534,0.8325,0.8325,5.00e-05
12,0.4431,0.4535,0.8300,0.8299,4.13e-05
13,0.4410,0.4567,0.8325,0.8324,3.29e-05
14,0.4421,0.4572,0.8325,0.8324,2.50e-05
15,0.4444,0.4551,0.8325,0.8325,1.79e-05
16,0.4421,0.4540,0.8300,0.8300,1.17e-05
17,0.4354,0.4545,0.8300,0.8300,6.70e-06
18,0.4336,0.4562,0.8325,0.8325,3.02e-06
19,0.4410,0.4558,0.8325,0.8325,7.60e-07
20,0.4387,0.4558,0.8325,0.8325,0.00e+00
