epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4798,0.4632,0.8375,0.8375,2.50e-06
2,0.4475,0.4517,0.8350,0.8350,5.00e-06
3,0.4396,0.4541,0.8325,0.8325,4.96e-06
4,0.4418,0.4548,0.8350,0.8350,4.85e-06
5,0.4422,0.4530,0.8325,0.8325,4.67e-06
6,0.4428,0.4522,0.8375,0.8375,4.42e-06
7,0.4359,0.4566,0.8350,0.8350,4.11e-06
8,0.4488,0.4535,0.8375,0.8375,3.75e-06
9,0.4398,0.4594,0.8375,0.8375,3.36e-06
10,0.4415,0.4515,0.8400,0.8400,2.93e-06
11,0.4502,0.4489,0.8375,0.8375,2.50e-06
12,0.4404,0.4572,0.8375,0.8375,2.07e-06
13,0.4361,0.4559,0.8375,0.8375,1.64e-06
14,0.4443,0.4498,0.8375,0.8375,1.25e-06
15,0.4370,0.4530,0.8350,0.8350,8.93e-07
16,0.4347,0.4550,0.8375,0.8375,5.85e-07
17,0.4435,0.4520,0.8375,0.8375,3.35e-07
18,0.4363,0.4534,0.8375,0.8375,1.51e-07
19,0.4380,0.4530,0.8375,0.8375,3.80e-08
20,0.4451,0.4530,0.8375,0.8375,0.00e+00
