epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7174,0.0000,0.7174,0.6857,0.6225,0.6223
2,0.6895,0.0000,0.6895,0.6777,0.6725,0.6716
3,0.6768,0.0000,0.6768,0.6666,0.6900,0.6897
4,0.6679,0.0000,0.6679,0.6507,0.7050,0.7041
5,0.6611,0.0000,0.6611,0.6340,0.7200,0.7180
6,0.6542,0.0000,0.6542,0.6186,0.7325,0.7315
7,0.6509,0.0000,0.6509,0.6052,0.7275,0.7271
8,0.6438,0.0000,0.6438,0.5946,0.7375,0.7372
9,0.6368,0.0000,0.6368,0.5844,0.7300,0.7300
10,0.6246,0.0000,0.6246,0.5760,0.7300,0.7300
11,0.6111,0.0010,0.6116,0.5659,0.7375,0.7375
12,0.6083,0.0001,0.6084,0.5598,0.7325,0.7324
13,0.6032,0.0000,0.6032,0.5547,0.7350,0.7350
14,0.5945,0.0007,0.5948,0.5505,0.7400,0.7400
15,0.5796,0.0201,0.5897,0.5478,0.7400,0.7399
16,0.5739,0.0094,0.5787,0.5448,0.7400,0.7399
17,0.5738,0.0128,0.5802,0.5389,0.7375,0.7373
18,0.5563,0.0038,0.5582,0.5358,0.7400,0.7399
19,0.5352,0.0151,0.5427,0.5359,0.7325,0.7324
20,0.5201,0.0193,0.5297,0.5383,0.7300,0.7300
21,0.5130,0.0189,0.5224,0.5379,0.7200,0.7199
22,0.5110,0.0249,0.5234,0.5394,0.7200,0.7197
23,0.4875,0.0143,0.4947,0.5424,0.7300,0.7299
24,0.4703,0.0257,0.4832,0.5440,0.7275,0.7275
25,0.4607,0.0223,0.4719,0.5463,0.7250,0.7249
26,0.4497,0.0194,0.4594,0.5505,0.7275,0.7275
27,0.4272,0.0221,0.4382,0.5519,0.7325,0.7325
28,0.4111,0.0216,0.4219,0.5543,0.7300,0.7300
29,0.3962,0.0307,0.4116,0.5564,0.7275,0.7275
30,0.3776,0.0293,0.3923,0.5625,0.7325,0.7325
