epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2729,0.4956,0.8675,0.8675,1.33e-06
2,0.2755,0.4837,0.8600,0.8600,1.99e-06
3,0.2717,0.4879,0.8675,0.8675,1.94e-06
4,0.2765,0.4978,0.8650,0.8650,1.84e-06
5,0.2746,0.4904,0.8650,0.8650,1.69e-06
6,0.2770,0.4937,0.8650,0.8650,1.50e-06
7,0.2764,0.4802,0.8650,0.8650,1.29e-06
8,0.2736,0.4844,0.8650,0.8650,1.06e-06
9,0.2733,0.4913,0.8650,0.8650,8.26e-07
10,0.2747,0.4828,0.8675,0.8675,6.04e-07
11,0.2761,0.4936,0.8650,0.8650,4.03e-07
12,0.2734,0.4895,0.8650,0.8650,2.34e-07
13,0.2721,0.4910,0.8650,0.8650,1.06e-07
14,0.2742,0.4898,0.8650,0.8650,2.69e-08
15,0.2746,0.4901,0.8650,0.8650,0.00e+00
