epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6930,0.0000,0.6930,0.6804,0.6450,0.6448
2,0.6686,0.0000,0.6686,0.6610,0.6975,0.6975
3,0.6428,0.0000,0.6428,0.6317,0.7275,0.7274
4,0.6109,0.0000,0.6109,0.5997,0.7400,0.7392
5,0.5910,0.0011,0.5916,0.5722,0.7250,0.7244
6,0.5761,0.0069,0.5795,0.5567,0.7400,0.7392
7,0.5624,0.0042,0.5645,0.5463,0.7400,0.7392
8,0.5532,0.0273,0.5669,0.5426,0.7400,0.7398
9,0.5416,0.0183,0.5507,0.5402,0.7400,0.7399
10,0.5365,0.0181,0.5455,0.5395,0.7375,0.7375
11,0.5129,0.0306,0.5282,0.5418,0.7400,0.7399
12,0.5049,0.0210,0.5154,0.5387,0.7375,0.7374
13,0.4880,0.0226,0.4993,0.5382,0.7400,0.7399
14,0.4814,0.0226,0.4927,0.5411,0.7425,0.7423
15,0.4764,0.0337,0.4932,0.5412,0.7400,0.7400
16,0.4665,0.0177,0.4753,0.5419,0.7450,0.7450
17,0.4485,0.0274,0.4622,0.5438,0.7375,0.7374
18,0.4380,0.0278,0.4519,0.5485,0.7450,0.7450
19,0.4369,0.0321,0.4530,0.5469,0.7350,0.7350
20,0.4315,0.0361,0.4496,0.5479,0.7425,0.7425
21,0.4198,0.0269,0.4333,0.5482,0.7350,0.7350
22,0.4121,0.0291,0.4267,0.5546,0.7400,0.7400
23,0.4002,0.0294,0.4149,0.5599,0.7300,0.7300
24,0.3922,0.0328,0.4086,0.5622,0.7350,0.7350
25,0.3902,0.0328,0.4066,0.5641,0.7300,0.7300
26,0.3875,0.0314,0.4032,0.5630,0.7300,0.7299
27,0.3901,0.0355,0.4079,0.5669,0.7300,0.7300
28,0.3785,0.0426,0.3998,0.5683,0.7200,0.7199
29,0.3798,0.0425,0.4011,0.5704,0.7250,0.7249
30,0.3745,0.0345,0.3918,0.5767,0.7225,0.7223
