epoch,train_loss,val_loss,val_acc,val_f1
1,0.1468,0.5805,0.8375,0.8375
2,0.1389,0.5259,0.8375,0.8375
3,0.1381,0.5675,0.8375,0.8375
4,0.1337,0.5017,0.8375,0.8375
5,0.1359,0.5695,0.8375,0.8375
6,0.1382,0.5684,0.8375,0.8375
7,0.1359,0.5819,0.8400,0.8400
8,0.1400,0.5332,0.8375,0.8375
9,0.1376,0.4850,0.8350,0.8350
10,0.1410,0.5718,0.8375,0.8375
11,0.1338,0.5723,0.8375,0.8375
12,0.1398,0.5629,0.8375,0.8375
13,0.1364,0.5138,0.8375,0.8375
14,0.1340,0.5215,0.8375,0.8375
15,0.1369,0.5380,0.8375,0.8375
16,0.1364,0.5919,0.8375,0.8375
17,0.1389,0.5608,0.8375,0.8375
18,0.1369,0.5461,0.8375,0.8375
19,0.1384,0.5615,0.8375,0.8375
20,0.1357,0.5899,0.8375,0.8375
21,0.1397,0.5388,0.8375,0.8375
22,0.1339,0.5570,0.8375,0.8375
23,0.1388,0.5390,0.8375,0.8375
24,0.1357,0.5102,0.8375,0.8375
25,0.1316,0.5475,0.8350,0.8350
26,0.1377,0.5714,0.8350,0.8350
27,0.1377,0.5797,0.8350,0.8350
28,0.1356,0.5734,0.8350,0.8350
29,0.1336,0.5638,0.8375,0.8375
30,0.1383,0.5534,0.8375,0.8375
