epoch,train_loss,val_loss,val_acc
1,0.6447,0.4578,0.7778
2,0.4187,0.4300,0.8213
3,0.2586,0.4435,0.8303
4,0.1586,0.5990,0.8228
5,0.1073,0.7535,0.8258
