epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6930,0.0000,0.6930,0.6804,0.6450,0.6448
2,0.6686,0.0000,0.6686,0.6610,0.6975,0.6975
3,0.6428,0.0000,0.6428,0.6317,0.7275,0.7274
4,0.6109,0.0000,0.6109,0.5997,0.7400,0.7392
5,0.5910,0.0011,0.5917,0.5723,0.7250,0.7244
6,0.5761,0.0069,0.5802,0.5568,0.7400,0.7392
7,0.5633,0.0044,0.5660,0.5466,0.7400,0.7392
8,0.5557,0.0219,0.5689,0.5434,0.7400,0.7398
9,0.5449,0.0188,0.5562,0.5411,0.7375,0.7375
10,0.5379,0.0182,0.5489,0.5410,0.7300,0.7300
11,0.5147,0.0300,0.5327,0.5435,0.7325,0.7325
12,0.5080,0.0209,0.5205,0.5402,0.7300,0.7300
13,0.4912,0.0222,0.5045,0.5395,0.7375,0.7374
14,0.4830,0.0226,0.4965,0.5427,0.7425,0.7423
15,0.4780,0.0353,0.4991,0.5430,0.7400,0.7400
16,0.4678,0.0174,0.4783,0.5437,0.7425,0.7425
17,0.4503,0.0283,0.4672,0.5450,0.7400,0.7399
18,0.4395,0.0281,0.4564,0.5497,0.7450,0.7450
19,0.4392,0.0323,0.4585,0.5478,0.7375,0.7375
20,0.4347,0.0348,0.4556,0.5487,0.7400,0.7400
21,0.4227,0.0268,0.4388,0.5491,0.7325,0.7325
22,0.4145,0.0283,0.4315,0.5557,0.7350,0.7350
23,0.4031,0.0291,0.4205,0.5609,0.7325,0.7325
24,0.3942,0.0348,0.4151,0.5634,0.7325,0.7325
25,0.3923,0.0318,0.4114,0.5650,0.7250,0.7249
26,0.3894,0.0307,0.4078,0.5635,0.7325,0.7324
27,0.3921,0.0353,0.4133,0.5676,0.7300,0.7300
28,0.3808,0.0419,0.4060,0.5687,0.7250,0.7249
29,0.3816,0.0410,0.4062,0.5707,0.7275,0.7275
30,0.3764,0.0352,0.3975,0.5767,0.7225,0.7223
