epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6915,0.0000,0.6915,0.6769,0.6975,0.6975
2,0.6680,0.0000,0.6680,0.6550,0.7225,0.7220
3,0.6437,0.0000,0.6437,0.6244,0.7400,0.7393
4,0.6158,0.0000,0.6158,0.5920,0.7475,0.7475
5,0.5889,0.0000,0.5889,0.5625,0.7550,0.7549
6,0.5746,0.0005,0.5749,0.5410,0.7675,0.7675
7,0.5591,0.0013,0.5598,0.5253,0.7650,0.7650
8,0.5478,0.0051,0.5504,0.5165,0.7600,0.7598
9,0.5364,0.0086,0.5407,0.5087,0.7675,0.7675
10,0.5245,0.0201,0.5346,0.5021,0.7650,0.7650
11,0.5204,0.0150,0.5278,0.5006,0.7650,0.7649
12,0.5062,0.0152,0.5138,0.4960,0.7675,0.7675
13,0.4964,0.0124,0.5025,0.4921,0.7675,0.7674
14,0.4833,0.0131,0.4898,0.4940,0.7525,0.7524
15,0.4761,0.0262,0.4892,0.4915,0.7575,0.7575
16,0.4694,0.0301,0.4844,0.4924,0.7500,0.7500
17,0.4502,0.0232,0.4618,0.4911,0.7550,0.7549
18,0.4549,0.0289,0.4693,0.4898,0.7475,0.7475
19,0.4546,0.0216,0.4654,0.4911,0.7550,0.7550
20,0.4376,0.0261,0.4506,0.4922,0.7525,0.7525
21,0.4321,0.0222,0.4432,0.4949,0.7550,0.7550
22,0.4292,0.0330,0.4457,0.4936,0.7550,0.7550
23,0.4215,0.0274,0.4352,0.4963,0.7525,0.7525
24,0.4169,0.0253,0.4295,0.4985,0.7475,0.7475
25,0.4260,0.0289,0.4405,0.4989,0.7475,0.7475
26,0.4074,0.0232,0.4190,0.5014,0.7500,0.7500
27,0.4056,0.0186,0.4149,0.5001,0.7400,0.7400
28,0.4038,0.0284,0.4181,0.5017,0.7425,0.7425
29,0.3950,0.0269,0.4084,0.5020,0.7550,0.7549
30,0.3909,0.0295,0.4056,0.5051,0.7525,0.7524
