epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4642,0.5092,0.8400,0.8400,3.33e-05
2,0.2681,0.5171,0.8375,0.8375,6.67e-05
3,0.2661,0.5112,0.8375,0.8375,1.00e-04
4,0.2653,0.5090,0.8350,0.8350,9.97e-05
5,0.2673,0.5060,0.8400,0.8400,9.87e-05
6,0.2669,0.5241,0.8350,0.8350,9.70e-05
7,0.2677,0.5008,0.8375,0.8375,9.47e-05
8,0.2676,0.5024,0.8400,0.8400,9.18e-05
9,0.2671,0.5320,0.8350,0.8349,8.83e-05
10,0.2663,0.5103,0.8325,0.8324,8.43e-05
11,0.2669,0.5171,0.8375,0.8375,7.99e-05
12,0.2674,0.5186,0.8350,0.8349,7.50e-05
13,0.2665,0.5010,0.8350,0.8350,6.98e-05
14,0.2665,0.5067,0.8350,0.8350,6.43e-05
15,0.2677,0.4913,0.8275,0.8274,5.87e-05
16,0.2652,0.5010,0.8350,0.8350,5.29e-05
17,0.2683,0.5124,0.8325,0.8325,4.71e-05
18,0.2658,0.5062,0.8350,0.8349,4.13e-05
19,0.2689,0.5062,0.8325,0.8325,3.57e-05
20,0.2683,0.5100,0.8375,0.8375,3.02e-05
21,0.2646,0.5127,0.8325,0.8325,2.50e-05
22,0.2674,0.5058,0.8325,0.8325,2.01e-05
23,0.2683,0.5089,0.8350,0.8350,1.57e-05
24,0.2679,0.5061,0.8325,0.8325,1.17e-05
25,0.2665,0.5068,0.8300,0.8300,8.23e-06
26,0.2666,0.5090,0.8325,0.8325,5.32e-06
27,0.2673,0.5074,0.8325,0.8325,3.02e-06
28,0.2661,0.5088,0.8350,0.8350,1.35e-06
29,0.2655,0.5089,0.8350,0.8350,3.38e-07
30,0.2664,0.5091,0.8350,0.8350,0.00e+00
