epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.7060,0.5012,0.8400,0.8400,5.00e-05
2,0.4616,0.4612,0.8400,0.8400,1.00e-04
3,0.4430,0.4610,0.8325,0.8325,9.92e-05
4,0.4439,0.4674,0.8325,0.8324,9.70e-05
5,0.4371,0.4591,0.8350,0.8350,9.33e-05
6,0.4403,0.4560,0.8325,0.8322,8.83e-05
7,0.4439,0.4626,0.8325,0.8324,8.21e-05
8,0.4396,0.4597,0.8300,0.8298,7.50e-05
9,0.4426,0.4591,0.8350,0.8350,6.71e-05
10,0.4467,0.4525,0.8300,0.8297,5.87e-05
11,0.4451,0.4564,0.8325,0.8324,5.00e-05
12,0.4423,0.4555,0.8350,0.8349,4.13e-05
13,0.4356,0.4567,0.8325,0.8324,3.29e-05
14,0.4440,0.4572,0.8325,0.8324,2.50e-05
15,0.4443,0.4561,0.8350,0.8350,1.79e-05
16,0.4394,0.4546,0.8325,0.8325,1.17e-05
17,0.4425,0.4552,0.8350,0.8350,6.70e-06
18,0.4455,0.4564,0.8350,0.8350,3.02e-06
19,0.4398,0.4560,0.8350,0.8350,7.60e-07
20,0.4378,0.4560,0.8350,0.8350,0.00e+00
