epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4745,0.4634,0.8375,0.8375,5.00e-06
2,0.4463,0.4491,0.8400,0.8400,1.00e-05
3,0.4430,0.4526,0.8350,0.8350,9.92e-06
4,0.4417,0.4496,0.8300,0.8299,9.70e-06
5,0.4450,0.4530,0.8350,0.8350,9.33e-06
6,0.4468,0.4519,0.8400,0.8400,8.83e-06
7,0.4408,0.4633,0.8375,0.8375,8.21e-06
8,0.4429,0.4596,0.8400,0.8400,7.50e-06
9,0.4398,0.4559,0.8325,0.8323,6.71e-06
10,0.4464,0.4511,0.8375,0.8375,5.87e-06
11,0.4381,0.4517,0.8350,0.8350,5.00e-06
12,0.4437,0.4556,0.8325,0.8325,4.13e-06
13,0.4437,0.4584,0.8325,0.8325,3.29e-06
14,0.4421,0.4479,0.8400,0.8400,2.50e-06
15,0.4359,0.4536,0.8350,0.8350,1.79e-06
16,0.4432,0.4514,0.8350,0.8350,1.17e-06
17,0.4340,0.4519,0.8350,0.8350,6.70e-07
18,0.4416,0.4527,0.8350,0.8350,3.02e-07
19,0.4423,0.4522,0.8375,0.8375,7.60e-08
20,0.4384,0.4522,0.8375,0.8375,0.00e+00
