epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2735,0.4913,0.8400,0.8400,1.34e-06
2,0.2651,0.5041,0.8400,0.8400,1.99e-06
3,0.2665,0.4929,0.8325,0.8325,1.94e-06
4,0.2666,0.4941,0.8375,0.8375,1.84e-06
5,0.2676,0.4887,0.8325,0.8324,1.69e-06
6,0.2662,0.4951,0.8350,0.8350,1.50e-06
7,0.2677,0.4842,0.8275,0.8273,1.29e-06
8,0.2648,0.4978,0.8400,0.8400,1.06e-06
9,0.2669,0.4939,0.8375,0.8375,8.26e-07
10,0.2651,0.4941,0.8375,0.8375,6.04e-07
11,0.2654,0.4931,0.8350,0.8350,4.03e-07
12,0.2671,0.4971,0.8425,0.8425,2.34e-07
13,0.2659,0.4955,0.8350,0.8350,1.06e-07
14,0.2670,0.4951,0.8400,0.8400,2.69e-08
15,0.2646,0.4951,0.8400,0.8400,0.00e+00
