epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7006,0.0000,0.7006,0.6820,0.6250,0.6195
2,0.6734,0.0000,0.6734,0.6618,0.6775,0.6730
3,0.6504,0.0000,0.6504,0.6336,0.7225,0.7224
4,0.6195,0.0000,0.6195,0.5978,0.7300,0.7300
5,0.5915,0.0014,0.5924,0.5676,0.7575,0.7572
6,0.5755,0.0049,0.5784,0.5462,0.7575,0.7572
7,0.5597,0.0046,0.5624,0.5358,0.7600,0.7598
8,0.5489,0.0184,0.5600,0.5299,0.7625,0.7625
9,0.5408,0.0177,0.5514,0.5276,0.7575,0.7572
10,0.5337,0.0192,0.5453,0.5297,0.7575,0.7572
11,0.5120,0.0241,0.5265,0.5321,0.7600,0.7593
12,0.5024,0.0305,0.5207,0.5341,0.7550,0.7545
13,0.5029,0.0223,0.5163,0.5336,0.7575,0.7572
14,0.4857,0.0336,0.5058,0.5386,0.7550,0.7543
15,0.4647,0.0275,0.4812,0.5416,0.7525,0.7519
16,0.4569,0.0342,0.4775,0.5457,0.7550,0.7548
17,0.4436,0.0319,0.4628,0.5498,0.7500,0.7496
18,0.4420,0.0418,0.4671,0.5531,0.7550,0.7547
19,0.4370,0.0249,0.4520,0.5542,0.7500,0.7499
20,0.4303,0.0296,0.4480,0.5568,0.7525,0.7522
21,0.4242,0.0362,0.4459,0.5613,0.7525,0.7522
22,0.4115,0.0359,0.4331,0.5641,0.7525,0.7522
23,0.4108,0.0381,0.4337,0.5669,0.7525,0.7522
24,0.3959,0.0453,0.4230,0.5709,0.7550,0.7547
25,0.3902,0.0587,0.4254,0.5741,0.7525,0.7523
26,0.3849,0.0422,0.4102,0.5757,0.7500,0.7498
27,0.3871,0.0393,0.4107,0.5792,0.7500,0.7499
28,0.3703,0.0526,0.4019,0.5808,0.7475,0.7474
29,0.3754,0.0466,0.4033,0.5803,0.7450,0.7449
30,0.3704,0.0492,0.3999,0.5838,0.7475,0.7474
