epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4485,0.4343,0.8650,0.8649,2.50e-06
2,0.4487,0.4345,0.8550,0.8549,5.00e-06
3,0.4486,0.4378,0.8525,0.8523,4.96e-06
4,0.4498,0.4394,0.8475,0.8475,4.85e-06
5,0.4551,0.4334,0.8600,0.8599,4.67e-06
6,0.4504,0.4296,0.8625,0.8625,4.42e-06
7,0.4503,0.4338,0.8525,0.8523,4.11e-06
8,0.4460,0.4385,0.8525,0.8523,3.75e-06
9,0.4436,0.4373,0.8550,0.8549,3.36e-06
10,0.4463,0.4312,0.8600,0.8599,2.93e-06
11,0.4450,0.4292,0.8625,0.8624,2.50e-06
12,0.4373,0.4354,0.8600,0.8599,2.07e-06
13,0.4416,0.4318,0.8625,0.8624,1.64e-06
14,0.4462,0.4315,0.8600,0.8599,1.25e-06
15,0.4439,0.4317,0.8550,0.8549,8.93e-07
16,0.4435,0.4332,0.8575,0.8574,5.85e-07
17,0.4382,0.4325,0.8600,0.8599,3.35e-07
18,0.4460,0.4312,0.8600,0.8599,1.51e-07
19,0.4368,0.4312,0.8600,0.8599,3.80e-08
20,0.4447,0.4312,0.8600,0.8599,0.00e+00
