epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2762,0.4853,0.8150,0.8144,1.34e-06
2,0.2687,0.4898,0.8150,0.8148,1.99e-06
3,0.2615,0.4874,0.8350,0.8350,1.94e-06
4,0.2605,0.4898,0.8200,0.8195,1.84e-06
5,0.2551,0.4837,0.8300,0.8300,1.69e-06
6,0.2552,0.4837,0.8225,0.8224,1.50e-06
7,0.2503,0.4848,0.8225,0.8224,1.29e-06
8,0.2489,0.4808,0.8250,0.8250,1.06e-06
9,0.2465,0.4890,0.8200,0.8198,8.26e-07
10,0.2466,0.4829,0.8275,0.8275,6.04e-07
11,0.2456,0.4853,0.8225,0.8224,4.03e-07
12,0.2430,0.4879,0.8175,0.8174,2.34e-07
13,0.2438,0.4856,0.8225,0.8223,1.06e-07
14,0.2445,0.4846,0.8200,0.8199,2.69e-08
15,0.2435,0.4844,0.8200,0.8199,0.00e+00
