epoch,train_loss,val_loss,val_acc
1,0.6890,0.6835,0.5847
2,0.6698,0.6654,0.6747
3,0.6448,0.6407,0.7106
4,0.6118,0.6109,0.7226
5,0.5788,0.5814,0.7271
6,0.5470,0.5595,0.7286
7,0.5242,0.5455,0.7301
8,0.5108,0.5364,0.7376
9,0.4941,0.5305,0.7316
10,0.4826,0.5245,0.7511
11,0.4711,0.5190,0.7601
12,0.4639,0.5161,0.7616
13,0.4572,0.5142,0.7541
14,0.4508,0.5132,0.7526
15,0.4491,0.5120,0.7556
16,0.4424,0.5120,0.7556
17,0.4301,0.5103,0.7571
18,0.4254,0.5106,0.7616
19,0.4118,0.5107,0.7616
20,0.4037,0.5113,0.7631
21,0.4172,0.5107,0.7661
22,0.4065,0.5104,0.7676
23,0.3991,0.5107,0.7631
24,0.3866,0.5118,0.7571
25,0.3794,0.5134,0.7586
26,0.3781,0.5123,0.7631
27,0.3852,0.5120,0.7616
28,0.3779,0.5143,0.7616
29,0.3734,0.5143,0.7646
30,0.3676,0.5153,0.7661
