epoch,train_loss,val_loss,val_acc,val_f1
1,0.1557,0.4123,0.8525,0.8524
2,0.1405,0.3867,0.8550,0.8549
3,0.1408,0.4470,0.8475,0.8475
4,0.1378,0.4488,0.8575,0.8575
5,0.1389,0.4193,0.8575,0.8575
6,0.1382,0.4015,0.8575,0.8575
7,0.1439,0.4213,0.8525,0.8525
8,0.1398,0.4077,0.8550,0.8550
9,0.1437,0.4189,0.8475,0.8475
10,0.1408,0.4460,0.8575,0.8575
11,0.1425,0.4190,0.8575,0.8575
12,0.1369,0.4597,0.8575,0.8575
13,0.1404,0.4594,0.8525,0.8525
14,0.1413,0.3917,0.8450,0.8450
15,0.1371,0.4024,0.8575,0.8575
16,0.1402,0.4393,0.8575,0.8575
17,0.1416,0.4387,0.8550,0.8550
18,0.1424,0.4510,0.8475,0.8475
19,0.1398,0.4480,0.8450,0.8450
20,0.1363,0.4217,0.8575,0.8575
21,0.1393,0.4348,0.8575,0.8575
22,0.1380,0.4437,0.8575,0.8575
23,0.1392,0.4338,0.8500,0.8500
24,0.1376,0.4344,0.8575,0.8575
25,0.1435,0.4511,0.8550,0.8550
26,0.1396,0.4536,0.8575,0.8575
27,0.1419,0.4229,0.8575,0.8575
28,0.1388,0.4366,0.8575,0.8575
29,0.1380,0.4558,0.8575,0.8575
30,0.1385,0.4604,0.8575,0.8575
