epoch,train_loss,val_loss,val_acc
1,0.5777,0.7176,0.7600
2,0.5049,0.6542,0.7600
3,0.4780,0.6286,0.7600
4,0.4687,0.6158,0.7600
5,0.4549,0.6117,0.7600
6,0.4448,0.6120,0.7600
7,0.4504,0.6101,0.7600
8,0.4428,0.6118,0.7575
9,0.4417,0.6129,0.7575
10,0.4312,0.6128,0.7575
11,0.4302,0.6159,0.7575
12,0.4297,0.6178,0.7575
13,0.4222,0.6192,0.7600
14,0.4208,0.6201,0.7600
15,0.4114,0.6218,0.7575
16,0.4126,0.6242,0.7575
17,0.4120,0.6264,0.7525
18,0.4033,0.6265,0.7550
19,0.4035,0.6290,0.7550
20,0.4075,0.6302,0.7525
21,0.4001,0.6309,0.7550
22,0.4000,0.6320,0.7550
23,0.4045,0.6318,0.7550
24,0.3979,0.6323,0.7550
25,0.3907,0.6331,0.7550
26,0.3936,0.6333,0.7550
27,0.3984,0.6334,0.7550
28,0.3976,0.6335,0.7550
29,0.3935,0.6336,0.7550
30,0.3911,0.6336,0.7550
