epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7052,0.0000,0.7052,0.6862,0.6000,0.5990
2,0.6857,0.0000,0.6857,0.6770,0.6525,0.6525
3,0.6753,0.0000,0.6753,0.6642,0.7025,0.7023
4,0.6686,0.0000,0.6686,0.6493,0.7275,0.7273
5,0.6607,0.0000,0.6607,0.6341,0.7325,0.7324
6,0.6568,0.0000,0.6568,0.6211,0.7325,0.7325
7,0.6488,0.0000,0.6488,0.6091,0.7325,0.7325
8,0.6391,0.0000,0.6391,0.5978,0.7350,0.7345
9,0.6297,0.0000,0.6297,0.5875,0.7275,0.7275
10,0.6287,0.0000,0.6287,0.5791,0.7250,0.7250
11,0.6164,0.0001,0.6165,0.5708,0.7350,0.7347
12,0.6060,0.0000,0.6060,0.5645,0.7300,0.7300
13,0.5969,0.0010,0.5974,0.5578,0.7300,0.7300
14,0.5921,0.0039,0.5941,0.5525,0.7425,0.7425
15,0.5786,0.0027,0.5800,0.5467,0.7500,0.7500
16,0.5738,0.0039,0.5757,0.5446,0.7400,0.7400
17,0.5608,0.0082,0.5648,0.5412,0.7325,0.7324
18,0.5496,0.0179,0.5586,0.5378,0.7425,0.7424
19,0.5437,0.0134,0.5504,0.5402,0.7250,0.7249
20,0.5369,0.0106,0.5422,0.5371,0.7375,0.7374
21,0.5141,0.0136,0.5209,0.5352,0.7475,0.7474
22,0.4968,0.0194,0.5065,0.5356,0.7425,0.7425
23,0.4874,0.0161,0.4955,0.5362,0.7375,0.7375
24,0.4741,0.0210,0.4847,0.5364,0.7400,0.7400
25,0.4672,0.0345,0.4845,0.5354,0.7500,0.7499
26,0.4362,0.0310,0.4517,0.5393,0.7400,0.7400
27,0.4317,0.0206,0.4420,0.5397,0.7425,0.7425
28,0.4091,0.0234,0.4208,0.5423,0.7400,0.7400
29,0.3919,0.0298,0.4068,0.5418,0.7475,0.7475
30,0.3785,0.0289,0.3930,0.5469,0.7400,0.7400
