epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4677,0.5165,0.8350,0.8350,3.33e-05
2,0.2747,0.5181,0.8375,0.8375,6.67e-05
3,0.2729,0.5134,0.8375,0.8375,1.00e-04
4,0.2712,0.4982,0.8275,0.8273,9.97e-05
5,0.2722,0.5082,0.8325,0.8325,9.87e-05
6,0.2758,0.5107,0.8300,0.8299,9.70e-05
7,0.2737,0.5101,0.8350,0.8350,9.47e-05
8,0.2731,0.4928,0.8325,0.8323,9.18e-05
9,0.2734,0.4933,0.8375,0.8375,8.83e-05
10,0.2749,0.5338,0.8350,0.8350,8.43e-05
11,0.2757,0.4983,0.8350,0.8350,7.99e-05
12,0.2714,0.5151,0.8350,0.8350,7.50e-05
13,0.2723,0.5127,0.8350,0.8350,6.98e-05
14,0.2741,0.5047,0.8375,0.8375,6.43e-05
15,0.2752,0.5055,0.8350,0.8350,5.87e-05
16,0.2716,0.5053,0.8350,0.8350,5.29e-05
17,0.2733,0.5136,0.8350,0.8350,4.71e-05
18,0.2729,0.5146,0.8350,0.8350,4.13e-05
19,0.2729,0.5125,0.8350,0.8350,3.57e-05
20,0.2716,0.5167,0.8350,0.8350,3.02e-05
21,0.2711,0.5161,0.8375,0.8375,2.50e-05
22,0.2702,0.5104,0.8375,0.8375,2.01e-05
23,0.2719,0.5114,0.8350,0.8350,1.57e-05
24,0.2722,0.5138,0.8375,0.8375,1.17e-05
25,0.2740,0.5101,0.8350,0.8350,8.23e-06
26,0.2713,0.5081,0.8350,0.8350,5.32e-06
27,0.2697,0.5104,0.8350,0.8350,3.02e-06
28,0.2741,0.5080,0.8325,0.8325,1.35e-06
29,0.2700,0.5085,0.8350,0.8350,3.38e-07
30,0.2728,0.5085,0.8350,0.8350,0.00e+00
