epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4312,0.4841,0.8575,0.8574,3.33e-05
2,0.2720,0.4777,0.8650,0.8649,6.67e-05
3,0.2722,0.4744,0.8625,0.8624,1.00e-04
4,0.2730,0.4719,0.8650,0.8650,9.97e-05
5,0.2723,0.4735,0.8600,0.8599,9.87e-05
6,0.2729,0.4667,0.8650,0.8649,9.70e-05
7,0.2744,0.4698,0.8650,0.8650,9.47e-05
8,0.2722,0.4659,0.8650,0.8649,9.18e-05
9,0.2710,0.4707,0.8625,0.8624,8.83e-05
10,0.2711,0.4665,0.8625,0.8625,8.43e-05
11,0.2722,0.4693,0.8650,0.8649,7.99e-05
12,0.2714,0.4660,0.8625,0.8624,7.50e-05
13,0.2698,0.4677,0.8650,0.8650,6.98e-05
14,0.2724,0.4615,0.8650,0.8650,6.43e-05
15,0.2725,0.4704,0.8625,0.8624,5.87e-05
16,0.2752,0.4680,0.8625,0.8624,5.29e-05
17,0.2723,0.4578,0.8650,0.8649,4.71e-05
18,0.2715,0.4718,0.8650,0.8649,4.13e-05
19,0.2717,0.4655,0.8650,0.8650,3.57e-05
20,0.2725,0.4603,0.8650,0.8650,3.02e-05
21,0.2704,0.4672,0.8650,0.8649,2.50e-05
22,0.2716,0.4678,0.8650,0.8650,2.01e-05
23,0.2703,0.4636,0.8650,0.8650,1.57e-05
24,0.2727,0.4620,0.8675,0.8675,1.17e-05
25,0.2710,0.4657,0.8650,0.8650,8.23e-06
26,0.2704,0.4627,0.8650,0.8650,5.32e-06
27,0.2706,0.4643,0.8650,0.8650,3.02e-06
28,0.2723,0.4651,0.8650,0.8650,1.35e-06
29,0.2701,0.4650,0.8650,0.8650,3.38e-07
30,0.2726,0.4649,0.8650,0.8650,0.00e+00
