epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7097,0.0000,0.7097,0.6812,0.6325,0.6320
2,0.6719,0.0000,0.6719,0.6646,0.6800,0.6786
3,0.6470,0.0000,0.6470,0.6374,0.7150,0.7150
4,0.6131,0.0000,0.6131,0.6025,0.7275,0.7275
5,0.5868,0.0000,0.5868,0.5758,0.7175,0.7175
6,0.5782,0.0030,0.5800,0.5587,0.7275,0.7275
7,0.5652,0.0031,0.5671,0.5478,0.7375,0.7375
8,0.5512,0.0129,0.5589,0.5421,0.7350,0.7349
9,0.5525,0.0127,0.5601,0.5327,0.7400,0.7400
10,0.5336,0.0132,0.5415,0.5301,0.7475,0.7475
11,0.5150,0.0390,0.5384,0.5277,0.7475,0.7474
12,0.5114,0.0311,0.5300,0.5260,0.7550,0.7550
13,0.4919,0.0214,0.5047,0.5244,0.7550,0.7550
14,0.4813,0.0355,0.5026,0.5255,0.7550,0.7549
15,0.4771,0.0297,0.4949,0.5211,0.7550,0.7549
16,0.4704,0.0207,0.4828,0.5236,0.7550,0.7550
17,0.4591,0.0278,0.4758,0.5237,0.7575,0.7574
18,0.4543,0.0348,0.4752,0.5213,0.7575,0.7574
19,0.4359,0.0219,0.4491,0.5168,0.7550,0.7549
20,0.4432,0.0277,0.4598,0.5172,0.7550,0.7550
21,0.4363,0.0554,0.4695,0.5146,0.7625,0.7625
22,0.4226,0.0450,0.4496,0.5173,0.7550,0.7549
23,0.4223,0.0255,0.4375,0.5202,0.7525,0.7524
24,0.4101,0.0278,0.4268,0.5163,0.7550,0.7549
25,0.4092,0.0385,0.4323,0.5178,0.7575,0.7575
26,0.4082,0.0327,0.4278,0.5167,0.7675,0.7674
27,0.4096,0.0238,0.4239,0.5177,0.7625,0.7625
28,0.3903,0.0640,0.4287,0.5163,0.7600,0.7600
29,0.3917,0.0427,0.4174,0.5155,0.7675,0.7674
30,0.3830,0.0295,0.4007,0.5190,0.7650,0.7649
