epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4903,0.4641,0.8575,0.8575,3.33e-05
2,0.2736,0.4583,0.8475,0.8475,6.67e-05
3,0.2746,0.4597,0.8475,0.8475,1.00e-04
4,0.2758,0.4449,0.8525,0.8524,9.97e-05
5,0.2758,0.4706,0.8475,0.8475,9.87e-05
6,0.2769,0.4546,0.8525,0.8524,9.70e-05
7,0.2749,0.4461,0.8500,0.8499,9.47e-05
8,0.2755,0.4583,0.8525,0.8525,9.18e-05
9,0.2735,0.4567,0.8525,0.8524,8.83e-05
10,0.2773,0.4680,0.8450,0.8450,8.43e-05
11,0.2748,0.4573,0.8525,0.8524,7.99e-05
12,0.2705,0.4651,0.8525,0.8524,7.50e-05
13,0.2748,0.4527,0.8525,0.8524,6.98e-05
14,0.2729,0.4583,0.8525,0.8524,6.43e-05
15,0.2739,0.4609,0.8525,0.8524,5.87e-05
16,0.2734,0.4649,0.8475,0.8475,5.29e-05
17,0.2750,0.4617,0.8525,0.8524,4.71e-05
18,0.2746,0.4586,0.8500,0.8499,4.13e-05
19,0.2751,0.4642,0.8525,0.8524,3.57e-05
20,0.2748,0.4593,0.8475,0.8475,3.02e-05
21,0.2765,0.4519,0.8500,0.8499,2.50e-05
22,0.2760,0.4596,0.8525,0.8524,2.01e-05
23,0.2726,0.4568,0.8525,0.8524,1.57e-05
24,0.2732,0.4585,0.8525,0.8524,1.17e-05
25,0.2738,0.4551,0.8525,0.8524,8.23e-06
26,0.2736,0.4590,0.8525,0.8524,5.32e-06
27,0.2766,0.4560,0.8525,0.8524,3.02e-06
28,0.2734,0.4566,0.8525,0.8524,1.35e-06
29,0.2749,0.4564,0.8525,0.8524,3.38e-07
30,0.2729,0.4564,0.8525,0.8524,0.00e+00
