epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4328,0.4804,0.8550,0.8549,3.33e-05
2,0.2727,0.4718,0.8625,0.8624,6.67e-05
3,0.2741,0.4700,0.8650,0.8649,1.00e-04
4,0.2705,0.4836,0.8600,0.8599,9.97e-05
5,0.2692,0.4579,0.8575,0.8574,9.87e-05
6,0.2715,0.4668,0.8525,0.8523,9.70e-05
7,0.2728,0.4583,0.8650,0.8650,9.47e-05
8,0.2710,0.4562,0.8650,0.8650,9.18e-05
9,0.2712,0.4707,0.8650,0.8649,8.83e-05
10,0.2732,0.4661,0.8650,0.8649,8.43e-05
11,0.2708,0.4681,0.8600,0.8599,7.99e-05
12,0.2709,0.4709,0.8600,0.8599,7.50e-05
13,0.2702,0.4681,0.8575,0.8573,6.98e-05
14,0.2685,0.4670,0.8600,0.8599,6.43e-05
15,0.2691,0.4770,0.8600,0.8599,5.87e-05
16,0.2701,0.4708,0.8650,0.8650,5.29e-05
17,0.2684,0.4739,0.8650,0.8649,4.71e-05
18,0.2681,0.4697,0.8650,0.8649,4.13e-05
19,0.2684,0.4665,0.8625,0.8624,3.57e-05
20,0.2707,0.4647,0.8625,0.8624,3.02e-05
21,0.2703,0.4669,0.8650,0.8649,2.50e-05
22,0.2679,0.4619,0.8625,0.8624,2.01e-05
23,0.2686,0.4623,0.8625,0.8624,1.57e-05
24,0.2699,0.4660,0.8575,0.8574,1.17e-05
25,0.2695,0.4664,0.8625,0.8624,8.23e-06
26,0.2694,0.4649,0.8625,0.8624,5.32e-06
27,0.2710,0.4654,0.8625,0.8624,3.02e-06
28,0.2683,0.4653,0.8625,0.8624,1.35e-06
29,0.2701,0.4651,0.8625,0.8624,3.38e-07
30,0.2680,0.4653,0.8625,0.8624,0.00e+00
