epoch,train_loss,val_loss,val_acc
1,0.6879,0.6797,0.6306
2,0.6663,0.6593,0.6772
3,0.6375,0.6293,0.7177
4,0.5991,0.5951,0.7523
5,0.5593,0.5681,0.7477
6,0.5306,0.5513,0.7477
7,0.5099,0.5422,0.7432
8,0.4891,0.5376,0.7432
9,0.4781,0.5356,0.7432
10,0.4693,0.5357,0.7432
11,0.4571,0.5364,0.7372
12,0.4496,0.5386,0.7372
13,0.4353,0.5398,0.7387
14,0.4284,0.5411,0.7342
15,0.4171,0.5418,0.7357
16,0.4226,0.5457,0.7372
17,0.4175,0.5468,0.7342
18,0.4052,0.5497,0.7282
19,0.3896,0.5510,0.7357
20,0.3922,0.5540,0.7357
21,0.3944,0.5560,0.7312
22,0.3804,0.5592,0.7312
23,0.3735,0.5613,0.7312
24,0.3756,0.5650,0.7282
25,0.3823,0.5667,0.7327
26,0.3641,0.5696,0.7357
27,0.3615,0.5735,0.7342
28,0.3575,0.5766,0.7357
29,0.3419,0.5810,0.7447
30,0.3559,0.5850,0.7357
