epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4033,0.4681,0.8625,0.8625,3.33e-05
2,0.2815,0.4695,0.8575,0.8575,6.67e-05
3,0.2785,0.4534,0.8600,0.8599,1.00e-04
4,0.2788,0.4593,0.8625,0.8625,9.97e-05
5,0.2804,0.4658,0.8525,0.8523,9.87e-05
6,0.2793,0.4595,0.8575,0.8575,9.70e-05
7,0.2787,0.4862,0.8550,0.8550,9.47e-05
8,0.2819,0.4637,0.8550,0.8550,9.18e-05
9,0.2796,0.4817,0.8575,0.8575,8.83e-05
10,0.2784,0.4769,0.8600,0.8600,8.43e-05
11,0.2815,0.4754,0.8575,0.8575,7.99e-05
12,0.2808,0.4751,0.8575,0.8575,7.50e-05
13,0.2775,0.4742,0.8575,0.8575,6.98e-05
14,0.2809,0.4557,0.8575,0.8575,6.43e-05
15,0.2818,0.4604,0.8600,0.8600,5.87e-05
16,0.2756,0.4649,0.8600,0.8600,5.29e-05
17,0.2779,0.4718,0.8625,0.8625,4.71e-05
18,0.2815,0.4650,0.8575,0.8575,4.13e-05
19,0.2782,0.4682,0.8550,0.8550,3.57e-05
20,0.2779,0.4727,0.8550,0.8550,3.02e-05
21,0.2803,0.4755,0.8575,0.8575,2.50e-05
22,0.2789,0.4620,0.8575,0.8575,2.01e-05
23,0.2785,0.4639,0.8575,0.8575,1.57e-05
24,0.2780,0.4666,0.8575,0.8575,1.17e-05
25,0.2776,0.4664,0.8575,0.8575,8.23e-06
26,0.2811,0.4646,0.8575,0.8575,5.32e-06
27,0.2790,0.4651,0.8575,0.8575,3.02e-06
28,0.2795,0.4646,0.8575,0.8575,1.35e-06
29,0.2770,0.4655,0.8575,0.8575,3.38e-07
30,0.2777,0.4656,0.8575,0.8575,0.00e+00
