epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5891,0.4488,0.8475,0.8475,5.00e-05
2,0.4531,0.4403,0.8425,0.8425,1.00e-04
3,0.4468,0.4403,0.8350,0.8347,9.92e-05
4,0.4511,0.4401,0.8350,0.8345,9.70e-05
5,0.4437,0.4420,0.8525,0.8525,9.33e-05
6,0.4451,0.4467,0.8500,0.8500,8.83e-05
7,0.4476,0.4469,0.8500,0.8500,8.21e-05
8,0.4444,0.4477,0.8425,0.8424,7.50e-05
9,0.4476,0.4427,0.8500,0.8500,6.71e-05
10,0.4453,0.4429,0.8500,0.8500,5.87e-05
11,0.4374,0.4419,0.8425,0.8425,5.00e-05
12,0.4473,0.4419,0.8375,0.8373,4.13e-05
13,0.4450,0.4466,0.8425,0.8425,3.29e-05
14,0.4399,0.4461,0.8425,0.8425,2.50e-05
15,0.4428,0.4433,0.8425,0.8425,1.79e-05
16,0.4418,0.4429,0.8450,0.8450,1.17e-05
17,0.4363,0.4423,0.8475,0.8475,6.70e-06
18,0.4465,0.4422,0.8450,0.8450,3.02e-06
19,0.4425,0.4421,0.8475,0.8475,7.60e-07
20,0.4449,0.4421,0.8475,0.8475,0.00e+00
