epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7052,0.0000,0.7052,0.6815,0.6475,0.6463
2,0.6876,0.0000,0.6876,0.6715,0.6975,0.6972
3,0.6767,0.0000,0.6767,0.6582,0.7100,0.7093
4,0.6677,0.0000,0.6677,0.6425,0.7175,0.7153
5,0.6626,0.0000,0.6626,0.6275,0.7350,0.7340
6,0.6544,0.0000,0.6544,0.6124,0.7450,0.7444
7,0.6492,0.0000,0.6492,0.6006,0.7500,0.7499
8,0.6408,0.0000,0.6409,0.5892,0.7525,0.7515
9,0.6331,0.0006,0.6337,0.5780,0.7575,0.7571
10,0.6264,0.0014,0.6279,0.5662,0.7575,0.7567
11,0.6246,0.0026,0.6271,0.5554,0.7500,0.7495
12,0.6169,0.0090,0.6260,0.5444,0.7550,0.7547
13,0.6169,0.0124,0.6293,0.5394,0.7600,0.7598
14,0.6033,0.0092,0.6125,0.5360,0.7600,0.7600
15,0.5916,0.0099,0.6015,0.5319,0.7525,0.7514
16,0.5759,0.0113,0.5872,0.5265,0.7600,0.7593
17,0.5738,0.0102,0.5840,0.5248,0.7500,0.7489
18,0.5617,0.0154,0.5771,0.5205,0.7525,0.7518
19,0.5520,0.0135,0.5654,0.5196,0.7600,0.7595
20,0.5363,0.0149,0.5513,0.5168,0.7625,0.7622
21,0.5260,0.0137,0.5398,0.5163,0.7600,0.7594
22,0.5096,0.0164,0.5260,0.5149,0.7550,0.7547
23,0.5043,0.0177,0.5220,0.5154,0.7550,0.7545
24,0.4834,0.0187,0.5020,0.5152,0.7575,0.7575
25,0.4678,0.0212,0.4890,0.5155,0.7625,0.7623
26,0.4525,0.0224,0.4749,0.5159,0.7600,0.7595
27,0.4440,0.0252,0.4692,0.5142,0.7600,0.7598
28,0.4178,0.0247,0.4425,0.5144,0.7675,0.7672
29,0.4052,0.0269,0.4320,0.5146,0.7675,0.7673
30,0.3852,0.0230,0.4082,0.5153,0.7625,0.7622
