epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6938,0.0000,0.6938,0.6835,0.6175,0.6166
2,0.6696,0.0000,0.6696,0.6655,0.6800,0.6788
3,0.6419,0.0000,0.6419,0.6396,0.7175,0.7172
4,0.6143,0.0000,0.6143,0.6123,0.7250,0.7248
5,0.5868,0.0000,0.5868,0.5908,0.7250,0.7249
6,0.5709,0.0001,0.5709,0.5755,0.7400,0.7400
7,0.5504,0.0020,0.5514,0.5658,0.7400,0.7400
8,0.5460,0.0048,0.5484,0.5581,0.7400,0.7399
9,0.5322,0.0100,0.5372,0.5551,0.7325,0.7325
10,0.5229,0.0168,0.5313,0.5543,0.7400,0.7400
11,0.5145,0.0133,0.5211,0.5493,0.7375,0.7375
12,0.5019,0.0183,0.5111,0.5497,0.7325,0.7325
13,0.4923,0.0150,0.4998,0.5486,0.7375,0.7375
14,0.4795,0.0191,0.4890,0.5484,0.7375,0.7375
15,0.4716,0.0211,0.4821,0.5480,0.7475,0.7475
16,0.4695,0.0194,0.4792,0.5485,0.7450,0.7450
17,0.4569,0.0250,0.4694,0.5501,0.7400,0.7400
18,0.4476,0.0160,0.4556,0.5489,0.7450,0.7450
19,0.4430,0.0247,0.4553,0.5557,0.7375,0.7375
20,0.4429,0.0182,0.4520,0.5528,0.7350,0.7350
21,0.4357,0.0270,0.4492,0.5503,0.7475,0.7475
22,0.4237,0.0292,0.4384,0.5527,0.7325,0.7325
23,0.4159,0.0168,0.4243,0.5527,0.7350,0.7350
24,0.4191,0.0205,0.4294,0.5535,0.7375,0.7375
25,0.4142,0.0332,0.4307,0.5519,0.7325,0.7325
26,0.4018,0.0301,0.4168,0.5540,0.7250,0.7250
27,0.4089,0.0204,0.4191,0.5517,0.7400,0.7400
28,0.3966,0.0227,0.4080,0.5543,0.7375,0.7375
29,0.3967,0.0359,0.4146,0.5504,0.7475,0.7475
30,0.3939,0.0278,0.4078,0.5546,0.7375,0.7375
