epoch,train_loss,val_loss,val_acc
1,0.6340,0.5065,0.7661
2,0.4173,0.4967,0.7961
3,0.2662,0.6036,0.8036
4,0.1456,0.6079,0.8276
5,0.0775,0.7631,0.8276
