epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6908,0.0000,0.6908,0.6788,0.6450,0.6435
2,0.6687,0.0000,0.6687,0.6577,0.6900,0.6869
3,0.6434,0.0000,0.6434,0.6299,0.7375,0.7375
4,0.6132,0.0000,0.6132,0.5994,0.7350,0.7350
5,0.5871,0.0000,0.5871,0.5745,0.7375,0.7375
6,0.5741,0.0005,0.5743,0.5572,0.7325,0.7320
7,0.5513,0.0009,0.5517,0.5480,0.7350,0.7340
8,0.5387,0.0034,0.5404,0.5399,0.7250,0.7242
9,0.5358,0.0118,0.5417,0.5350,0.7500,0.7499
10,0.5231,0.0109,0.5286,0.5343,0.7450,0.7446
11,0.5057,0.0108,0.5111,0.5353,0.7375,0.7369
12,0.4974,0.0155,0.5051,0.5372,0.7400,0.7396
13,0.4860,0.0235,0.4978,0.5389,0.7375,0.7370
14,0.4784,0.0129,0.4849,0.5409,0.7425,0.7421
15,0.4699,0.0328,0.4863,0.5449,0.7375,0.7373
16,0.4548,0.0266,0.4681,0.5462,0.7450,0.7447
17,0.4482,0.0161,0.4562,0.5504,0.7450,0.7447
18,0.4451,0.0279,0.4590,0.5541,0.7450,0.7444
19,0.4453,0.0192,0.4548,0.5565,0.7375,0.7373
20,0.4395,0.0314,0.4552,0.5587,0.7300,0.7293
21,0.4293,0.0294,0.4440,0.5598,0.7375,0.7375
22,0.4215,0.0293,0.4361,0.5631,0.7275,0.7273
23,0.4140,0.0315,0.4298,0.5644,0.7275,0.7273
24,0.4062,0.0243,0.4183,0.5690,0.7300,0.7297
25,0.4124,0.0321,0.4284,0.5704,0.7250,0.7243
26,0.4003,0.0306,0.4156,0.5735,0.7175,0.7170
27,0.3977,0.0352,0.4153,0.5751,0.7250,0.7246
28,0.3974,0.0299,0.4124,0.5779,0.7275,0.7269
29,0.3919,0.0295,0.4067,0.5780,0.7300,0.7296
30,0.3832,0.0282,0.3973,0.5836,0.7275,0.7269
