epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.7045,0.0000,0.7045,0.6813,0.6600,0.6590
2,0.6863,0.0000,0.6863,0.6715,0.7275,0.7275
3,0.6767,0.0000,0.6767,0.6576,0.7525,0.7521
4,0.6688,0.0000,0.6688,0.6411,0.7525,0.7522
5,0.6610,0.0000,0.6610,0.6243,0.7600,0.7598
6,0.6519,0.0000,0.6519,0.6093,0.7750,0.7749
7,0.6499,0.0000,0.6499,0.5952,0.7800,0.7800
8,0.6423,0.0000,0.6423,0.5837,0.7650,0.7649
9,0.6296,0.0000,0.6296,0.5731,0.7775,0.7775
10,0.6208,0.0000,0.6208,0.5596,0.7700,0.7700
11,0.6186,0.0000,0.6187,0.5539,0.7700,0.7697
12,0.6085,0.0001,0.6085,0.5427,0.7675,0.7675
13,0.5969,0.0007,0.5972,0.5342,0.7675,0.7674
14,0.5885,0.0009,0.5890,0.5290,0.7550,0.7546
15,0.5796,0.0034,0.5813,0.5208,0.7625,0.7625
16,0.5697,0.0044,0.5719,0.5160,0.7575,0.7574
17,0.5523,0.0057,0.5552,0.5108,0.7675,0.7675
18,0.5532,0.0053,0.5559,0.5079,0.7575,0.7575
19,0.5453,0.0136,0.5521,0.5035,0.7625,0.7625
20,0.5237,0.0138,0.5306,0.4994,0.7650,0.7650
21,0.5222,0.0158,0.5301,0.5004,0.7625,0.7624
22,0.5081,0.0243,0.5202,0.4977,0.7525,0.7525
23,0.4921,0.0230,0.5036,0.4969,0.7550,0.7549
24,0.4794,0.0194,0.4891,0.4960,0.7575,0.7575
25,0.4766,0.0265,0.4898,0.4968,0.7475,0.7475
26,0.4473,0.0158,0.4552,0.4977,0.7500,0.7500
27,0.4289,0.0165,0.4372,0.4964,0.7500,0.7500
28,0.4156,0.0229,0.4271,0.4976,0.7500,0.7500
29,0.3950,0.0311,0.4105,0.4971,0.7550,0.7550
30,0.3794,0.0297,0.3943,0.5001,0.7575,0.7574
