epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4214,0.4572,0.8625,0.8625,3.33e-05
2,0.2871,0.4462,0.8575,0.8575,6.67e-05
3,0.2860,0.4483,0.8525,0.8524,1.00e-04
4,0.2858,0.4373,0.8575,0.8575,9.97e-05
5,0.2869,0.4668,0.8575,0.8575,9.87e-05
6,0.2883,0.4406,0.8525,0.8523,9.70e-05
7,0.2849,0.4482,0.8550,0.8550,9.47e-05
8,0.2839,0.4621,0.8575,0.8575,9.18e-05
9,0.2847,0.4579,0.8625,0.8625,8.83e-05
10,0.2856,0.4386,0.8625,0.8625,8.43e-05
11,0.2843,0.4526,0.8600,0.8600,7.99e-05
12,0.2834,0.4472,0.8600,0.8599,7.50e-05
13,0.2853,0.4620,0.8625,0.8625,6.98e-05
14,0.2898,0.4497,0.8625,0.8625,6.43e-05
15,0.2843,0.4489,0.8625,0.8625,5.87e-05
16,0.2841,0.4557,0.8575,0.8575,5.29e-05
17,0.2855,0.4564,0.8575,0.8575,4.71e-05
18,0.2870,0.4558,0.8575,0.8575,4.13e-05
19,0.2846,0.4485,0.8600,0.8600,3.57e-05
20,0.2851,0.4476,0.8600,0.8600,3.02e-05
21,0.2836,0.4554,0.8625,0.8625,2.50e-05
22,0.2864,0.4504,0.8600,0.8600,2.01e-05
23,0.2850,0.4510,0.8575,0.8575,1.57e-05
24,0.2867,0.4473,0.8575,0.8575,1.17e-05
25,0.2859,0.4502,0.8575,0.8575,8.23e-06
26,0.2852,0.4488,0.8575,0.8575,5.32e-06
27,0.2869,0.4494,0.8575,0.8575,3.02e-06
28,0.2837,0.4498,0.8575,0.8575,1.35e-06
29,0.2846,0.4499,0.8575,0.8575,3.38e-07
30,0.2871,0.4498,0.8575,0.8575,0.00e+00
