epoch,train_loss,val_loss,val_acc
1,0.6911,0.6835,0.5742
2,0.6722,0.6643,0.6582
3,0.6467,0.6362,0.7031
4,0.6124,0.6026,0.7151
5,0.5811,0.5712,0.7196
6,0.5480,0.5495,0.7286
7,0.5232,0.5356,0.7361
8,0.5011,0.5277,0.7346
9,0.4992,0.5209,0.7481
10,0.4761,0.5166,0.7406
11,0.4641,0.5144,0.7436
12,0.4556,0.5141,0.7406
13,0.4500,0.5130,0.7466
14,0.4476,0.5130,0.7316
15,0.4376,0.5112,0.7451
16,0.4269,0.5115,0.7481
17,0.4240,0.5117,0.7421
18,0.4190,0.5146,0.7466
19,0.4166,0.5170,0.7436
20,0.4084,0.5179,0.7436
21,0.4079,0.5198,0.7451
22,0.3960,0.5204,0.7451
23,0.3873,0.5201,0.7511
24,0.3845,0.5220,0.7481
25,0.3773,0.5241,0.7496
26,0.3741,0.5252,0.7496
27,0.3752,0.5276,0.7541
28,0.3726,0.5301,0.7511
29,0.3622,0.5332,0.7541
30,0.3577,0.5353,0.7496
