epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5086,0.4568,0.8575,0.8575,3.33e-05
2,0.2725,0.4487,0.8575,0.8575,6.67e-05
3,0.2721,0.4426,0.8525,0.8524,1.00e-04
4,0.2713,0.4561,0.8525,0.8525,9.97e-05
5,0.2725,0.4455,0.8525,0.8525,9.87e-05
6,0.2701,0.4454,0.8550,0.8550,9.70e-05
7,0.2703,0.4434,0.8475,0.8475,9.47e-05
8,0.2729,0.4423,0.8475,0.8475,9.18e-05
9,0.2679,0.4502,0.8525,0.8525,8.83e-05
10,0.2696,0.4534,0.8475,0.8474,8.43e-05
11,0.2702,0.4418,0.8575,0.8575,7.99e-05
12,0.2687,0.4416,0.8575,0.8575,7.50e-05
13,0.2717,0.4392,0.8475,0.8474,6.98e-05
14,0.2715,0.4477,0.8500,0.8499,6.43e-05
15,0.2688,0.4397,0.8475,0.8474,5.87e-05
16,0.2693,0.4413,0.8500,0.8499,5.29e-05
17,0.2713,0.4469,0.8550,0.8549,4.71e-05
18,0.2693,0.4377,0.8575,0.8575,4.13e-05
19,0.2680,0.4426,0.8600,0.8600,3.57e-05
20,0.2693,0.4392,0.8500,0.8499,3.02e-05
21,0.2708,0.4452,0.8600,0.8600,2.50e-05
22,0.2702,0.4435,0.8600,0.8600,2.01e-05
23,0.2678,0.4471,0.8600,0.8600,1.57e-05
24,0.2697,0.4434,0.8600,0.8600,1.17e-05
25,0.2694,0.4456,0.8600,0.8600,8.23e-06
26,0.2695,0.4429,0.8600,0.8600,5.32e-06
27,0.2690,0.4438,0.8600,0.8600,3.02e-06
28,0.2659,0.4448,0.8600,0.8600,1.35e-06
29,0.2700,0.4442,0.8575,0.8575,3.38e-07
30,0.2697,0.4443,0.8575,0.8575,0.00e+00
