epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2762,0.4532,0.8650,0.8650,1.34e-06
2,0.2731,0.4667,0.8600,0.8599,1.99e-06
3,0.2724,0.4604,0.8625,0.8624,1.94e-06
4,0.2729,0.4615,0.8550,0.8549,1.84e-06
5,0.2733,0.4660,0.8600,0.8599,1.69e-06
6,0.2722,0.4647,0.8575,0.8574,1.50e-06
7,0.2736,0.4594,0.8600,0.8599,1.29e-06
8,0.2750,0.4696,0.8575,0.8574,1.06e-06
9,0.2709,0.4596,0.8550,0.8549,8.26e-07
10,0.2734,0.4562,0.8525,0.8523,6.04e-07
11,0.2709,0.4586,0.8525,0.8523,4.03e-07
12,0.2713,0.4622,0.8550,0.8549,2.34e-07
13,0.2706,0.4592,0.8575,0.8574,1.06e-07
14,0.2710,0.4594,0.8600,0.8599,2.69e-08
15,0.2751,0.4593,0.8600,0.8599,0.00e+00
